id,colour,gene
ENSG00000000419,greenyellow,DPM1
ENSG00000000938,turquoise,FGR
ENSG00000001631,brown,KRIT1
ENSG00000002330,black,BAD
ENSG00000002549,green,LAP3
ENSG00000002834,turquoise,LASP1
ENSG00000002919,black,SNX11
ENSG00000003137,turquoise,CYP26B1
ENSG00000003402,brown,CFLAR
ENSG00000003436,blue,TFPI
ENSG00000003756,brown,RBM5
ENSG00000003989,blue,SLC7A2
ENSG00000004142,black,POLDIP2
ENSG00000004399,green,PLXND1
ENSG00000004534,brown,RBM6
ENSG00000004660,brown,CAMKK1
ENSG00000004779,black,NDUFAB1
ENSG00000004866,purple,ST7
ENSG00000004939,turquoise,SLC4A1
ENSG00000004975,black,DVL2
ENSG00000005108,blue,THSD7A
ENSG00000005194,black,CIAPIN1
ENSG00000005243,green,COPZ2
ENSG00000005486,black,RHBDD2
ENSG00000005812,blue,FBXL3
ENSG00000005844,turquoise,ITGAL
ENSG00000005893,black,LAMP2
ENSG00000006042,green,TMEM98
ENSG00000006075,turquoise,CCL3
ENSG00000006118,black,TMEM132A
ENSG00000006327,black,TNFRSF12A
ENSG00000006459,greenyellow,KDM7A
ENSG00000006534,turquoise,ALDH3B1
ENSG00000006625,pink,GGCT
ENSG00000006659,blue,LGALS14
ENSG00000006712,blue,PAF1
ENSG00000006837,brown,CDKL3
ENSG00000007047,turquoise,MARK4
ENSG00000007255,black,TRAPPC6A
ENSG00000007392,brown,LUC7L
ENSG00000007541,black,PIGQ
ENSG00000007944,black,MYLIP
ENSG00000007968,turquoise,E2F2
ENSG00000008130,black,NADK
ENSG00000008283,black,CYB561
ENSG00000008311,brown,AASS
ENSG00000008323,black,PLEKHG6
ENSG00000008394,turquoise,MGST1
ENSG00000008441,turquoise,NFIX
ENSG00000008513,black,ST3GAL1
ENSG00000008952,blue,SEC62
ENSG00000009413,brown,REV3L
ENSG00000009950,brown,MLXIPL
ENSG00000010017,blue,RANBP9
ENSG00000010256,black,UQCRC1
ENSG00000010278,turquoise,CD9
ENSG00000010327,green,STAB1
ENSG00000010610,green,CD4
ENSG00000010810,turquoise,FYN
ENSG00000011009,black,LYPLA2
ENSG00000011028,turquoise,MRC2
ENSG00000011198,black,ABHD5
ENSG00000011258,brown,MBTD1
ENSG00000011422,turquoise,PLAUR
ENSG00000011426,pink,ANLN
ENSG00000011465,turquoise,DCN
ENSG00000011566,blue,MAP4K3
ENSG00000011600,green,TYROBP
ENSG00000011638,green,TMEM159
ENSG00000012232,turquoise,EXTL3
ENSG00000012983,brown,MAP4K5
ENSG00000013275,black,PSMC4
ENSG00000013374,greenyellow,NUB1
ENSG00000013441,brown,CLK1
ENSG00000013588,turquoise,GPRC5A
ENSG00000013810,green,TACC3
ENSG00000014216,black,CAPN1
ENSG00000014641,black,MDH1
ENSG00000015285,green,WAS
ENSG00000015676,black,NUDCD3
ENSG00000017797,blue,RALBP1
ENSG00000018189,brown,RUFY3
ENSG00000019582,green,CD74
ENSG00000019995,blue,ZRANB1
ENSG00000020577,turquoise,SAMD4A
ENSG00000022277,black,RTFDC1
ENSG00000023171,black,GRAMD1B
ENSG00000023191,black,RNH1
ENSG00000024422,turquoise,EHD2
ENSG00000024526,pink,DEPDC1
ENSG00000025708,green,TYMP
ENSG00000025770,black,NCAPH2
ENSG00000025800,black,KPNA6
ENSG00000026025,turquoise,VIM
ENSG00000026297,turquoise,RNASET2
ENSG00000027697,black,IFNGR1
ENSG00000029363,greenyellow,BCLAF1
ENSG00000029364,black,SLC39A9
ENSG00000029534,turquoise,ANK1
ENSG00000029993,purple,HMGB3
ENSG00000030110,salmon,BAK1
ENSG00000030419,blue,IKZF2
ENSG00000030582,black,GRN
ENSG00000032219,brown,ARID4A
ENSG00000032444,black,PNPLA6
ENSG00000033100,black,CHPF2
ENSG00000033170,black,FUT8
ENSG00000033867,turquoise,SLC4A7
ENSG00000035403,turquoise,VCL
ENSG00000035664,brown,DAPK2
ENSG00000035862,black,TIMP2
ENSG00000036530,brown,CYP46A1
ENSG00000037280,blue,FLT4
ENSG00000038210,brown,PI4K2B
ENSG00000038219,brown,BOD1L1
ENSG00000038945,turquoise,MSR1
ENSG00000039560,blue,RAI14
ENSG00000040633,black,PHF23
ENSG00000041353,turquoise,RAB27B
ENSG00000041982,turquoise,TNC
ENSG00000042062,brown,FAM65C
ENSG00000042493,turquoise,CAPG
ENSG00000042753,black,AP2S1
ENSG00000042980,turquoise,ADAM28
ENSG00000046651,brown,OFD1
ENSG00000047188,brown,YTHDC2
ENSG00000047249,black,ATP6V1H
ENSG00000047410,brown,TPR
ENSG00000047597,turquoise,XK
ENSG00000047644,purple,WWC3
ENSG00000047849,green,MAP4
ENSG00000048140,green,TSPAN17
ENSG00000048649,brown,RSF1
ENSG00000048828,purple,FAM120A
ENSG00000049540,green,ELN
ENSG00000049656,black,CLPTM1L
ENSG00000050165,turquoise,DKK3
ENSG00000050344,pink,NFE2L3
ENSG00000050393,blue,MCUR1
ENSG00000050438,brown,SLC4A8
ENSG00000051108,purple,HERPUD1
ENSG00000051128,green,HOMER3
ENSG00000051180,pink,RAD51
ENSG00000052344,black,PRSS8
ENSG00000052841,blue,TTC17
ENSG00000053371,black,AKR7A2
ENSG00000053524,brown,MCF2L2
ENSG00000053747,turquoise,LAMA3
ENSG00000054116,black,TRAPPC3
ENSG00000054148,black,PHPT1
ENSG00000054267,brown,ARID4B
ENSG00000054277,black,OPN3
ENSG00000054654,brown,SYNE2
ENSG00000055044,brown,NOP58
ENSG00000055070,black,SZRD1
ENSG00000056097,blue,ZFR
ENSG00000056972,black,TRAF3IP2
ENSG00000057252,turquoise,SOAT1
ENSG00000057294,purple,PKP2
ENSG00000058085,turquoise,LAMC2
ENSG00000058262,black,SEC61A1
ENSG00000058272,brown,PPP1R12A
ENSG00000058673,blue,ZC3H11A
ENSG00000059377,green,TBXAS1
ENSG00000059378,turquoise,PARP12
ENSG00000059728,blue,MXD1
ENSG00000059804,turquoise,SLC2A3
ENSG00000060069,black,CTDP1
ENSG00000060339,brown,CCAR1
ENSG00000060558,green,GNA15
ENSG00000060642,black,PIGV
ENSG00000061936,brown,SFSWAP
ENSG00000061987,brown,MON2
ENSG00000062038,pink,CDH3
ENSG00000062725,blue,APPBP2
ENSG00000063245,black,EPN1
ENSG00000063601,blue,MTMR1
ENSG00000064042,purple,LIMCH1
