nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000000419	NA	greenyellow
ENSG00000000938	NA	turquoise
ENSG00000000971	NA	grey
ENSG00000001036	NA	grey
ENSG00000001167	NA	grey
ENSG00000001617	NA	grey
ENSG00000001631	NA	brown
ENSG00000002016	NA	grey
ENSG00000002330	NA	black
ENSG00000002549	NA	green
ENSG00000002726	NA	grey
ENSG00000002834	NA	turquoise
ENSG00000002919	NA	black
ENSG00000002933	NA	grey
ENSG00000003137	NA	turquoise
ENSG00000003400	NA	grey
ENSG00000003402	NA	brown
ENSG00000003436	NA	blue
ENSG00000003756	NA	brown
ENSG00000003989	NA	blue
ENSG00000004059	NA	grey
ENSG00000004139	NA	grey
ENSG00000004142	NA	black
ENSG00000004399	NA	green
ENSG00000004478	NA	grey
ENSG00000004534	NA	brown
ENSG00000004660	NA	brown
ENSG00000004776	NA	grey
ENSG00000004779	NA	black
ENSG00000004866	NA	purple
ENSG00000004897	NA	grey
ENSG00000004939	NA	turquoise
ENSG00000004975	NA	black
ENSG00000005007	NA	grey
ENSG00000005022	NA	grey
ENSG00000005108	NA	blue
ENSG00000005175	NA	grey
ENSG00000005194	NA	black
ENSG00000005238	NA	grey
ENSG00000005243	NA	green
ENSG00000005339	NA	grey
ENSG00000005483	NA	grey
ENSG00000005486	NA	black
ENSG00000005801	NA	grey
ENSG00000005810	NA	grey
ENSG00000005812	NA	blue
ENSG00000005844	NA	turquoise
ENSG00000005884	NA	grey
ENSG00000005889	NA	grey
ENSG00000005893	NA	black
ENSG00000006015	NA	grey
ENSG00000006042	NA	green
ENSG00000006075	NA	turquoise
ENSG00000006118	NA	black
ENSG00000006327	NA	black
ENSG00000006459	NA	greenyellow
ENSG00000006468	NA	grey
ENSG00000006534	NA	turquoise
ENSG00000006625	NA	pink
ENSG00000006638	NA	grey
ENSG00000006659	NA	blue
ENSG00000006704	NA	grey
ENSG00000006712	NA	blue
ENSG00000006756	NA	grey
ENSG00000006837	NA	brown
ENSG00000007047	NA	turquoise
ENSG00000007255	NA	black
ENSG00000007376	NA	grey
ENSG00000007384	NA	grey
ENSG00000007392	NA	brown
ENSG00000007520	NA	grey
ENSG00000007541	NA	black
ENSG00000007866	NA	grey
ENSG00000007944	NA	black
ENSG00000007968	NA	turquoise
ENSG00000008018	NA	grey
ENSG00000008083	NA	grey
ENSG00000008086	NA	grey
ENSG00000008128	NA	grey
ENSG00000008130	NA	black
ENSG00000008256	NA	grey
ENSG00000008283	NA	black
ENSG00000008300	NA	grey
ENSG00000008311	NA	brown
ENSG00000008323	NA	black
ENSG00000008382	NA	grey
ENSG00000008394	NA	turquoise
ENSG00000008441	NA	turquoise
ENSG00000008513	NA	black
ENSG00000008710	NA	grey
ENSG00000008952	NA	blue
ENSG00000009413	NA	brown
ENSG00000009950	NA	brown
ENSG00000010017	NA	blue
ENSG00000010256	NA	black
ENSG00000010278	NA	turquoise
ENSG00000010295	NA	grey
ENSG00000010319	NA	grey
ENSG00000010327	NA	green
ENSG00000010361	NA	grey
ENSG00000010610	NA	green
ENSG00000010810	NA	turquoise
ENSG00000011009	NA	black
ENSG00000011028	NA	turquoise
ENSG00000011105	NA	grey
ENSG00000011132	NA	grey
ENSG00000011198	NA	black
ENSG00000011243	NA	grey
ENSG00000011258	NA	brown
ENSG00000011260	NA	grey
ENSG00000011304	NA	grey
ENSG00000011405	NA	grey
ENSG00000011422	NA	turquoise
ENSG00000011426	NA	pink
ENSG00000011465	NA	turquoise
ENSG00000011566	NA	blue
ENSG00000011600	NA	green
ENSG00000011638	NA	green
ENSG00000012061	NA	grey
ENSG00000012232	NA	turquoise
ENSG00000012660	NA	grey
ENSG00000012983	NA	brown
ENSG00000013016	NA	grey
ENSG00000013275	NA	black
ENSG00000013306	NA	grey
ENSG00000013364	NA	grey
ENSG00000013374	NA	greenyellow
ENSG00000013441	NA	brown
ENSG00000013588	NA	turquoise
ENSG00000013810	NA	green
ENSG00000014164	NA	grey
ENSG00000014216	NA	black
ENSG00000014641	NA	black
ENSG00000015285	NA	green
ENSG00000015532	NA	grey
ENSG00000015676	NA	black
ENSG00000016391	NA	grey
ENSG00000017427	NA	grey
ENSG00000017797	NA	blue
ENSG00000018189	NA	brown
ENSG00000019102	NA	grey
ENSG00000019144	NA	grey
ENSG00000019549	NA	grey
ENSG00000019582	NA	green
ENSG00000019995	NA	blue
ENSG00000020129	NA	grey
ENSG00000020181	NA	grey
ENSG00000020577	NA	turquoise
ENSG00000021355	NA	grey
ENSG00000022277	NA	black
ENSG00000023171	NA	black
ENSG00000023191	NA	black
ENSG00000023330	NA	grey
ENSG00000023445	NA	grey
ENSG00000023516	NA	grey
ENSG00000024422	NA	turquoise
ENSG00000024526	NA	pink
ENSG00000024862	NA	grey
ENSG00000025708	NA	green
ENSG00000025770	NA	black
ENSG00000025772	NA	grey
ENSG00000025796	NA	grey
ENSG00000025800	NA	black
ENSG00000026025	NA	turquoise
ENSG00000026036	NA	grey
ENSG00000026297	NA	turquoise
ENSG00000027697	NA	black
ENSG00000027847	NA	grey
ENSG00000028137	NA	grey
ENSG00000029363	NA	greenyellow
ENSG00000029364	NA	black
ENSG00000029534	NA	turquoise
ENSG00000029993	NA	purple
ENSG00000030110	NA	salmon
ENSG00000030419	NA	blue
ENSG00000030582	NA	black
ENSG00000031081	NA	grey
ENSG00000032219	NA	brown
ENSG00000032444	NA	black
ENSG00000033100	NA	black
ENSG00000033170	NA	black
ENSG00000033867	NA	turquoise
ENSG00000034152	NA	grey
ENSG00000034510	NA	grey
ENSG00000034533	NA	grey
ENSG00000035403	NA	turquoise
ENSG00000035499	NA	grey
ENSG00000035664	NA	brown
ENSG00000035862	NA	black
ENSG00000036530	NA	brown
ENSG00000037280	NA	blue
ENSG00000037637	NA	grey
ENSG00000038210	NA	brown
ENSG00000038219	NA	brown
ENSG00000038295	NA	grey
ENSG00000038358	NA	grey
ENSG00000038427	NA	grey
ENSG00000038945	NA	turquoise
ENSG00000039319	NA	grey
ENSG00000039523	NA	grey
ENSG00000039537	NA	grey
ENSG00000039560	NA	blue
ENSG00000040487	NA	grey
ENSG00000040531	NA	grey
ENSG00000040633	NA	black
ENSG00000041353	NA	turquoise
ENSG00000041982	NA	turquoise
ENSG00000042062	NA	brown
ENSG00000042445	NA	grey
ENSG00000042493	NA	turquoise
ENSG00000042753	NA	black
ENSG00000042980	NA	turquoise
ENSG00000043462	NA	grey
ENSG00000044090	NA	grey
ENSG00000044446	NA	grey
ENSG00000044459	NA	grey
ENSG00000046651	NA	brown
ENSG00000046889	NA	grey
ENSG00000047188	NA	brown
ENSG00000047249	NA	black
ENSG00000047346	NA	grey
ENSG00000047410	NA	brown
ENSG00000047579	NA	grey
ENSG00000047597	NA	turquoise
ENSG00000047634	NA	grey
ENSG00000047644	NA	purple
ENSG00000047648	NA	grey
ENSG00000047849	NA	green
ENSG00000048140	NA	green
ENSG00000048342	NA	grey
ENSG00000048649	NA	brown
ENSG00000048740	NA	grey
ENSG00000048828	NA	purple
ENSG00000048991	NA	grey
ENSG00000049130	NA	grey
ENSG00000049239	NA	grey
ENSG00000049540	NA	green
ENSG00000049618	NA	grey
ENSG00000049656	NA	black
ENSG00000049860	NA	grey
ENSG00000050165	NA	turquoise
ENSG00000050344	NA	pink
ENSG00000050393	NA	blue
ENSG00000050438	NA	brown
ENSG00000050555	NA	grey
ENSG00000050820	NA	grey
ENSG00000051108	NA	purple
ENSG00000051128	NA	green
ENSG00000051180	NA	pink
ENSG00000051341	NA	grey
ENSG00000051382	NA	grey
ENSG00000051523	NA	grey
ENSG00000051825	NA	grey
ENSG00000052126	NA	grey
ENSG00000052344	NA	black
ENSG00000052749	NA	grey
ENSG00000052795	NA	grey
ENSG00000052841	NA	blue
ENSG00000053371	NA	black
ENSG00000053524	NA	brown
ENSG00000053747	NA	turquoise
ENSG00000053918	NA	grey
ENSG00000054116	NA	black
ENSG00000054148	NA	black
ENSG00000054267	NA	brown
ENSG00000054277	NA	black
ENSG00000054654	NA	brown
ENSG00000054690	NA	grey
ENSG00000055044	NA	brown
ENSG00000055070	NA	black
ENSG00000055208	NA	grey
ENSG00000055332	NA	grey
ENSG00000055609	NA	grey
ENSG00000055813	NA	grey
ENSG00000055950	NA	grey
ENSG00000056097	NA	blue
ENSG00000056277	NA	grey
ENSG00000056558	NA	grey
ENSG00000056661	NA	grey
ENSG00000056972	NA	black
ENSG00000057252	NA	turquoise
ENSG00000057294	NA	purple
ENSG00000057704	NA	grey
ENSG00000058085	NA	turquoise
ENSG00000058262	NA	black
ENSG00000058272	NA	brown
ENSG00000058673	NA	blue
ENSG00000058799	NA	grey
ENSG00000058866	NA	grey
ENSG00000059377	NA	green
ENSG00000059378	NA	turquoise
ENSG00000059588	NA	grey
ENSG00000059728	NA	blue
ENSG00000059758	NA	grey
ENSG00000059804	NA	turquoise
ENSG00000060069	NA	black
ENSG00000060237	NA	grey
ENSG00000060339	NA	brown
ENSG00000060491	NA	grey
ENSG00000060558	NA	green
ENSG00000060642	NA	black
ENSG00000060656	NA	grey
ENSG00000060688	NA	grey
ENSG00000060749	NA	grey
ENSG00000061337	NA	grey
ENSG00000061455	NA	grey
ENSG00000061656	NA	grey
ENSG00000061918	NA	grey
ENSG00000061936	NA	brown
ENSG00000061987	NA	brown
ENSG00000062038	NA	pink
ENSG00000062582	NA	grey
ENSG00000062716	NA	grey
ENSG00000062725	NA	blue
ENSG00000062822	NA	grey
ENSG00000063169	NA	grey
ENSG00000063176	NA	grey
ENSG00000063177	NA	grey
ENSG00000063241	NA	grey
ENSG00000063245	NA	black
ENSG00000063587	NA	grey
ENSG00000063601	NA	blue
ENSG00000064042	NA	purple
ENSG00000064115	NA	grey
ENSG00000064225	NA	black
ENSG00000064300	NA	grey
ENSG00000064393	NA	grey
ENSG00000064490	NA	black
ENSG00000064545	NA	grey
ENSG00000064601	NA	black
ENSG00000064607	NA	grey
ENSG00000064651	NA	grey
ENSG00000064652	NA	blue
ENSG00000064666	NA	turquoise
ENSG00000064692	NA	grey
ENSG00000064932	NA	grey
ENSG00000064961	NA	grey
ENSG00000065029	NA	grey
ENSG00000065054	NA	grey
ENSG00000065154	NA	green
ENSG00000065268	NA	grey
ENSG00000065308	NA	black
ENSG00000065328	NA	pink
ENSG00000065361	NA	blue
ENSG00000065413	NA	grey
ENSG00000065427	NA	black
ENSG00000065485	NA	turquoise
ENSG00000065518	NA	grey
ENSG00000065526	NA	grey
ENSG00000065548	NA	blue
ENSG00000065613	NA	greenyellow
ENSG00000065615	NA	brown
ENSG00000065618	NA	turquoise
ENSG00000065621	NA	turquoise
ENSG00000065882	NA	blue
ENSG00000065911	NA	green
ENSG00000065970	NA	grey
ENSG00000065989	NA	turquoise
ENSG00000066056	NA	grey
ENSG00000066084	NA	blue
ENSG00000066279	NA	pink
ENSG00000066322	NA	black
ENSG00000066336	NA	green
ENSG00000066382	NA	grey
ENSG00000066455	NA	blue
ENSG00000066651	NA	grey
ENSG00000066735	NA	green
ENSG00000066827	NA	grey
ENSG00000066855	NA	blue
ENSG00000066923	NA	brown
ENSG00000066926	NA	grey
ENSG00000066933	NA	blue
ENSG00000067057	NA	turquoise
ENSG00000067082	NA	grey
ENSG00000067182	NA	black
ENSG00000067221	NA	grey
ENSG00000067225	NA	purple
ENSG00000067533	NA	grey
ENSG00000067606	NA	grey
ENSG00000067704	NA	black
ENSG00000067798	NA	brown
ENSG00000067900	NA	grey
