module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
black,GO:0002181,cytoplasmic translation,9.489740022991121e-23,1.489424187371977e-18,BP,black,1,GO:0002181,17.826981597748667,160,cytoplasmic translation,cytoplasmic translation,0.8071666666666667,0.6429672131147541,0
black,GO:1901566,organonitrogen compound biosynthetic process,1.0757965204625728e-18,6.559741972474623e-15,BP,black,1,GO:0002181,14.183113243266773,1806,organonitrogen compound biosynthetic process,cytoplasmic translation,0.8052083333333333,0.6259344262295081,0.724
black,GO:0006412,translation,2.0083742420880422e-14,6.47299018224976e-11,BP,black,1,GO:0002181,10.188895051687151,749,translation,cytoplasmic translation,0.7762083333333334,0.5855409836065574,0.842
black,GO:0043043,peptide biosynthetic process,3.775990646155436e-14,1.1512179049717945e-10,BP,black,1,GO:0002181,9.938842464406772,780,peptide biosynthetic process,cytoplasmic translation,0.7824416666666667,0.5978852459016393,0.839
black,GO:0048193,Golgi vesicle transport,9.860380467595348e-14,2.617176985051984e-10,BP,black,2,GO:0048193,9.582166907458527,294,Golgi vesicle transport,Golgi vesicle transport,0.8463833333333333,0.49178124999999995,0
black,GO:0009060,aerobic respiration,1.6575163686334678e-13,4.1550251991932964e-10,BP,black,1,GO:0002181,9.381426337983983,199,aerobic respiration,cytoplasmic translation,0.8312083333333333,0.6908852459016394,0.181
black,GO:0043604,amide biosynthetic process,2.463452867652433e-13,5.786328581207997e-10,BP,black,1,GO:0002181,9.237596908234922,915,amide biosynthetic process,cytoplasmic translation,0.819175,0.6705081967213115,0.824
black,GO:0006119,oxidative phosphorylation,7.7873292301537e-13,1.568660131799086e-9,BP,black,1,GO:0002181,8.80447114109949,148,oxidative phosphorylation,cytoplasmic translation,0.8342583333333333,0.6960819672131148,0.175
black,GO:0006518,peptide metabolic process,1.5529163614078138e-12,2.78058301823188e-9,BP,black,1,GO:0002181,8.555864133918579,948,peptide metabolic process,cytoplasmic translation,0.8258666666666666,0.6658852459016393,0.819
black,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,2.055613673892181e-12,3.4353111182727036e-9,BP,black,2,GO:0048193,8.464033925029335,132,endoplasmic reticulum to Golgi vesicle-mediated transport,Golgi vesicle transport,0.8296166666666667,0.42437499999999995,0.922
black,GO:1901564,organonitrogen compound metabolic process,2.276755244566955e-12,3.7493339469105895e-9,BP,black,1,GO:0002181,8.42604587597176,5992,organonitrogen compound metabolic process,cytoplasmic translation,0.806075,0.6292295081967213,0.484
