module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
greenyellow,GO:0090304,nucleic acid metabolic process,9.05041039646173e-16,3.781227943603205e-12,BP,greenyellow,1,GO:0090304,11.422367141292542,5683,nucleic acid metabolic process,nucleic acid metabolic process,0.4543404255319149,0.3740769230769231,0
greenyellow,GO:0006139,nucleobase-containing compound metabolic process,1.945141928079305e-13,4.822455718615077e-10,BP,greenyellow,1,GO:0090304,9.316731751501479,6241,nucleobase-containing compound metabolic process,nucleic acid metabolic process,0.46842553191489356,0.39,0.873
greenyellow,GO:0046483,heterocycle metabolic process,1.7777392050478551e-12,3.0616468858843253e-9,BP,greenyellow,1,GO:0090304,8.514044899971914,6421,heterocycle metabolic process,nucleic acid metabolic process,0.5123191489361703,0.4425641025641026,0.865
greenyellow,GO:0016070,RNA metabolic process,2.04872506593973e-12,3.4353111182727036e-9,BP,greenyellow,1,GO:0090304,8.464033925029335,5123,RNA metabolic process,nucleic acid metabolic process,0.4504893617021277,0.3685128205128205,0.859
greenyellow,GO:0006725,cellular aromatic compound metabolic process,2.471429694267087e-12,4.0404293719101265e-9,BP,greenyellow,1,GO:0090304,8.393572480448128,6468,cellular aromatic compound metabolic process,nucleic acid metabolic process,0.5132127659574468,0.4435641025641026,0.862
greenyellow,GO:0016071,mRNA metabolic process,1.5686792107054667e-11,2.1192198606422775e-8,BP,greenyellow,1,GO:0090304,7.673823984624504,872,mRNA metabolic process,nucleic acid metabolic process,0.5590212765957447,0.49323076923076925,0.618
greenyellow,GO:1901360,organic cyclic compound metabolic process,5.249499343378876e-11,5.863067063661922e-8,BP,greenyellow,1,GO:0090304,7.231875138185707,6720,organic cyclic compound metabolic process,nucleic acid metabolic process,0.5326170212765957,0.46261538461538465,0.848
greenyellow,GO:0034641,cellular nitrogen compound metabolic process,8.7590772311509625e-11,9.277631052206425e-8,BP,greenyellow,1,GO:0090304,7.032562902260978,6887,cellular nitrogen compound metabolic process,nucleic acid metabolic process,0.5127659574468085,0.44212820512820517,0.837
greenyellow,GO:0006396,RNA processing,2.762287054229606e-8,1.7359319841357698e-5,BP,greenyellow,1,GO:0090304,4.76046729499662,1466,RNA processing,nucleic acid metabolic process,0.4915744680851064,0.4131025641025641,0.659
greenyellow,GO:0000375,"RNA splicing, via transesterification reactions",9.125273405537754e-8,4.8901494846160865e-5,BP,greenyellow,1,GO:0090304,4.310677864935352,341,"RNA splicing, via transesterification reactions",nucleic acid metabolic process,0.5495531914893617,0.47989743589743594,0.551
