module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
turquoise,GO:0032501,multicellular organismal process,1.4762771479397538e-16,7.240497551014953e-13,BP,turquoise,1,GO:0032501,12.140231589018917,7918,multicellular organismal process,multicellular organismal process,0.9098151658767772,0.6440869565217391,0
turquoise,GO:0050896,response to stimulus,9.353402648909574e-16,3.8367657665827074e-12,BP,turquoise,2,GO:0050896,11.416034713542295,9228,response to stimulus,response to stimulus,0.8830616113744076,0.6416086956521739,0
turquoise,GO:0007155,cell adhesion,2.778256752231775e-15,1.0446708431183513e-11,BP,turquoise,3,GO:0007155,10.981020526333458,1533,cell adhesion,cell adhesion,0.968781990521327,0.2865,0
turquoise,GO:0045229,external encapsulating structure organization,2.4694920361819505e-13,5.786328581207997e-10,BP,turquoise,4,GO:0045229,9.237596908234922,334,external encapsulating structure organization,external encapsulating structure organization,0.9738436018957346,0.515,0
turquoise,GO:0030198,extracellular matrix organization,7.765526026792486e-13,1.568660131799086e-9,BP,turquoise,4,GO:0045229,8.80447114109949,332,extracellular matrix organization,external encapsulating structure organization,0.970739336492891,0.4058333333333334,0.997
turquoise,GO:0043062,extracellular structure organization,7.765526026792486e-13,1.568660131799086e-9,BP,turquoise,4,GO:0045229,8.80447114109949,333,extracellular structure organization,external encapsulating structure organization,0.9738341232227488,0.515,0.341
turquoise,GO:0006955,immune response,1.9086368853643276e-12,3.237650885015383e-9,BP,turquoise,5,GO:0006955,8.489769982909877,2046,immune response,immune response,0.8769668246445498,0.32399999999999995,0
turquoise,GO:0016477,cell migration,3.2573664727029746e-12,5.0335236294967e-9,BP,turquoise,6,GO:0016477,8.298127888285148,1614,cell migration,cell migration,0.9750568720379147,0.3986666666666667,0
turquoise,GO:0048856,anatomical structure development,3.836334213254581e-12,5.8088279318950734e-9,BP,turquoise,7,GO:0048856,8.235911487929911,6016,anatomical structure development,anatomical structure development,0.8942037914691943,0.5055116279069767,0
turquoise,GO:0009653,anatomical structure morphogenesis,5.0465721698715505e-12,7.298443251568722e-9,BP,turquoise,7,GO:0048856,8.136769764448387,2757,anatomical structure morphogenesis,anatomical structure development,0.8940426540284361,0.5019534883720931,0.66
turquoise,GO:0051239,regulation of multicellular organismal process,5.43345253117758e-12,7.758488769360593e-9,BP,turquoise,1,GO:0032501,8.11022286418559,3121,regulation of multicellular organismal process,multicellular organismal process,0.849909952606635,0.5798695652173913,0.568
turquoise,GO:0002376,immune system process,1.4901504886661778e-11,2.0375324348362204e-8,BP,turquoise,5,GO:0006955,7.6908954691360725,2844,immune system process,immune response,0.9588293838862559,0.34025000000000005,0.858
turquoise,GO:0006952,defense response,1.6131973374934765e-11,2.1535707178219128e-8,BP,turquoise,2,GO:0050896,7.6668408625335775,1868,defense response,response to stimulus,0.878303317535545,0.603695652173913,0.438
turquoise,GO:0007166,cell surface receptor signaling pathway,2.2161480405464865e-11,2.8089053900432182e-8,BP,turquoise,8,GO:0007166,7.551462888521502,2899,cell surface receptor signaling pathway,cell surface receptor signaling pathway,0.8230094786729858,0.48450000000000004,0
turquoise,GO:0032502,developmental process,3.081715678457876e-11,3.737988571058502e-8,BP,turquoise,7,GO:0048856,7.42736203081535,6593,developmental process,anatomical structure development,0.8995355450236967,0.5307209302325582,0.812
turquoise,GO:0009605,response to external stimulus,3.47693098384125e-11,4.111471624112805e-8,BP,turquoise,2,GO:0050896,7.386002702737607,2795,response to external stimulus,response to stimulus,0.871781990521327,0.5965217391304347,0.477
turquoise,GO:0040011,locomotion,4.019401626134222e-11,4.650344619857137e-8,BP,turquoise,9,GO:0040011,7.332514861958098,1348,locomotion,locomotion,0.9742843601895734,0.22485714285714287,0
turquoise,GO:0048870,cell motility,1.2458449350166211e-10,1.2604263488300443e-7,BP,turquoise,6,GO:0016477,6.899482526608888,1831,cell motility,cell migration,0.9750995260663508,0.404,0.964
turquoise,GO:0009611,response to wounding,1.8092424546412408e-10,1.7774387951695042e-7,BP,turquoise,2,GO:0050896,6.750205344959824,567,response to wounding,response to stimulus,0.8832274881516587,0.6476739130434783,0.329
turquoise,GO:0042060,wound healing,1.8120248344000086e-10,1.7774387951695042e-7,BP,turquoise,2,GO:0050896,6.750205344959824,430,wound healing,response to stimulus,0.8845450236966824,0.6540652173913044,0.317
turquoise,GO:0007165,signal transduction,4.676464651523585e-10,4.057912269347062e-7,BP,turquoise,8,GO:0007166,6.3916973464969375,6104,signal transduction,cell surface receptor signaling pathway,0.8087772511848341,0.413875,0.738
turquoise,GO:0009888,tissue development,6.833481424461883e-10,5.861983818147701e-7,BP,turquoise,7,GO:0048856,6.231955384754434,2032,tissue development,anatomical structure development,0.8970284360189573,0.5300697674418604,0.611
turquoise,GO:0051240,positive regulation of multicellular organismal process,9.372473451599568e-10,7.860683031283936e-7,BP,turquoise,1,GO:0032501,6.10453971555989,1689,positive regulation of multicellular organismal process,multicellular organismal process,0.8469620853080568,0.607695652173913,0.483
turquoise,GO:0048646,anatomical structure formation involved in morphogenesis,1.7177109894394972e-9,1.3793333948964299e-6,BP,turquoise,7,GO:0048856,5.860330749006298,1271,anatomical structure formation involved in morphogenesis,anatomical structure development,0.903175355450237,0.5445581395348837,0.537
turquoise,GO:0001503,ossification,1.7634060328978404e-9,1.4107873584470985e-6,BP,turquoise,1,GO:0032501,5.850538440542161,446,ossification,multicellular organismal process,0.9266729857819905,0.6526521739130435,0.368
turquoise,GO:0007275,multicellular organism development,4.3882742005629145e-9,3.2895894362420223e-6,BP,turquoise,7,GO:0048856,5.482858301655189,4764,multicellular organism development,anatomical structure development,0.8462369668246446,0.483,0.795
turquoise,GO:0042221,response to chemical,4.388841010189481e-9,3.2895894362420223e-6,BP,turquoise,2,GO:0050896,5.482858301655189,4101,response to chemical,response to stimulus,0.8902890995260664,0.6513478260869565,0.523
turquoise,GO:0023052,signaling,5.827706808487972e-9,4.301739899465673e-6,BP,turquoise,8,GO:0007166,5.366355852349706,6595,signaling,cell surface receptor signaling pathway,0.9020805687203791,0.427125,0.7
turquoise,GO:0051716,cellular response to stimulus,7.13521945639153e-9,5.143057065675696e-6,BP,turquoise,2,GO:0050896,5.288778656862934,7616,cellular response to stimulus,response to stimulus,0.8709099526066351,0.6511956521739131,0.664
turquoise,GO:0030334,regulation of cell migration,8.492750223621277e-9,6.063447398579735e-6,BP,turquoise,9,GO:0040011,5.217280385654893,1051,regulation of cell migration,locomotion,0.9046824644549762,0.22271428571428575,0.935
turquoise,GO:0007154,cell communication,1.1021575455964411e-8,7.651008118831172e-6,BP,turquoise,10,GO:0007154,5.116281337186255,6687,cell communication,cell communication,0.9493791469194313,0.531,0
turquoise,GO:0001775,cell activation,1.1968410481242858e-8,8.232296002052442e-6,BP,turquoise,1,GO:0032501,5.084479022387161,1113,cell activation,multicellular organismal process,0.9133744075829384,0.6082608695652174,0.45
turquoise,GO:0051707,response to other organism,1.3948592436722308e-8,9.283014571235752e-6,BP,turquoise,2,GO:0050896,5.032310967848711,1580,response to other organism,response to stimulus,0.8675971563981042,0.5890652173913044,0.425
turquoise,GO:0001501,skeletal system development,1.456792787408803e-8,9.666677081391176e-6,BP,turquoise,7,GO:0048856,5.01472278891847,531,skeletal system development,anatomical structure development,0.8846919431279621,0.6023255813953489,0.466
turquoise,GO:0043207,response to external biotic stimulus,1.506615249682424e-8,9.938814809381628e-6,BP,turquoise,2,GO:0050896,5.00266540156187,1583,response to external biotic stimulus,response to stimulus,0.8721374407582938,0.5890869565217391,0.425
