module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
black,GO:0031090,organelle membrane,1.0884762163240186e-33,1.2278555958243092e-28,CC,black,1,GO:0031090,27.910852706178822,3752,organelle membrane,organelle membrane,0.7802038834951457,0.6176666666666666,0
black,GO:0012505,endomembrane system,7.524605674936225e-24,1.6976262863223618e-19,CC,black,2,GO:0012505,18.770157908704064,4767,endomembrane system,endomembrane system,0.9095631067961165,0.5091428571428571,0
black,GO:0022626,cytosolic ribosome,1.1431330802571561e-23,2.344565947607427e-19,CC,black,3,GO:0022626,18.629937546981775,122,cytosolic ribosome,cytosolic ribosome,0.8642815533980582,0.23028571428571432,0
black,GO:0044391,ribosomal subunit,9.902647405070545e-23,1.489424187371977e-18,CC,black,3,GO:0022626,17.826981597748667,193,ribosomal subunit,cytosolic ribosome,0.8088252427184466,0.21271428571428574,0.911
black,GO:0031984,organelle subcompartment,1.0957137387313992e-22,1.5450248537199436e-18,CC,black,4,GO:0031984,17.811064529995388,1519,organelle subcompartment,organelle subcompartment,0.8824466019417476,0.3048333333333334,0
black,GO:0005840,ribosome,3.5031099531456426e-21,3.7635077929961357e-17,CC,black,3,GO:0022626,16.42440718034667,251,ribosome,cytosolic ribosome,0.8924951456310679,0.2261428571428571,0.936
black,GO:0005783,endoplasmic reticulum,4.0915547586292386e-21,4.195889404974284e-17,CC,black,2,GO:0012505,16.377175967438056,2041,endoplasmic reticulum,endomembrane system,0.8212233009708738,0.5255714285714286,0.702
black,GO:0005789,endoplasmic reticulum membrane,2.063695050603778e-20,1.9399593348613265e-16,CC,black,4,GO:0031984,15.712207373590614,1197,endoplasmic reticulum membrane,organelle subcompartment,0.724,0.3098333333333334,0.942
black,GO:0098827,endoplasmic reticulum subcompartment,2.847493594404882e-20,2.379344554939575e-16,CC,black,4,GO:0031984,15.623542662849736,1202,endoplasmic reticulum subcompartment,organelle subcompartment,0.8160873786407767,0.3088333333333333,0.944
black,GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,7.392425852565014e-20,5.211891239366228e-16,CC,black,2,GO:0012505,15.283004655629432,1220,nuclear outer membrane-endoplasmic reticulum membrane network,endomembrane system,0.8587669902912621,0.5972857142857143,0.621
black,GO:0043231,intracellular membrane-bounded organelle,2.721413820433524e-19,1.7542233486514495e-15,CC,black,5,GO:0043231,14.75591511284477,12711,intracellular membrane-bounded organelle,intracellular membrane-bounded organelle,0.852504854368932,0.6455,0
black,GO:0005737,cytoplasm,1.788218685036783e-17,9.605714703122585e-14,CC,black,6,GO:0005737,13.01747031637492,12174,cytoplasm,cytoplasm,0.8754077669902912,0.7734375,0
black,GO:0016020,membrane,6.603582526109627e-17,3.385986940262711e-13,CC,black,1,GO:0031090,12.47031472129583,9678,membrane,organelle membrane,0.8971650485436893,0.6938888888888889,0.551
black,GO:0043227,membrane-bounded organelle,7.379189553778981e-16,3.141167840052973e-12,CC,black,5,GO:0043231,11.502908857596587,13930,membrane-bounded organelle,intracellular membrane-bounded organelle,0.874621359223301,0.654,0.548
black,GO:0098588,bounding membrane of organelle,1.6511709120312381e-15,6.422770163161512e-12,CC,black,1,GO:0031090,11.192277618801192,2194,bounding membrane of organelle,organelle membrane,0.7813300970873787,0.6261111111111111,0.821
black,GO:1902494,catalytic complex,3.3395728434173997e-15,1.2351492282022944e-11,CC,black,7,GO:1902494,10.90828056866375,1746,catalytic complex,catalytic complex,0.8593883495145631,0.4748,0
black,GO:0043229,intracellular organelle,8.20587221936146e-15,2.848195125246368e-11,CC,black,5,GO:0043231,10.545430261202686,13855,intracellular organelle,intracellular membrane-bounded organelle,0.8855436893203883,0.6659999999999999,0.468
