module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
green,GO:0031982,vesicle,1.3935013867015738e-15,5.515576278135825e-12,CC,green,1,GO:0031982,11.258409104921089,4180,vesicle,vesicle,0.6734166666666667,0.474,0
green,GO:0071944,cell periphery,1.0294507667415124e-13,2.700632412611077e-10,CC,green,2,GO:0071944,9.568534524305196,6363,cell periphery,cell periphery,0.9122222222222223,0.5521428571428572,0
green,GO:0097708,intracellular vesicle,8.32361518917519e-13,1.605034891307534e-9,CC,green,1,GO:0031982,8.794515522176479,2527,intracellular vesicle,vesicle,0.6506666666666667,0.42552631578947364,0.857
green,GO:0031410,cytoplasmic vesicle,2.1100016838545305e-12,3.5002755874589754e-9,CC,green,1,GO:0031982,8.455897760963735,2521,cytoplasmic vesicle,vesicle,0.6484722222222222,0.4213684210526316,0.856
green,GO:0005576,extracellular region,3.889490934588928e-10,3.441208038245522e-7,CC,green,3,GO:0005576,6.463289071310791,4570,extracellular region,extracellular region,0.8910555555555556,0.3501666666666666,0
green,GO:0005886,plasma membrane,2.7271867040316917e-9,2.1143662965518557e-6,CC,green,2,GO:0071944,5.674819772567516,5881,plasma membrane,cell periphery,0.859,0.5497142857142857,0.847
green,GO:0062023,collagen-containing extracellular matrix,7.059148165651625e-9,5.104533389912382e-6,CC,green,2,GO:0071944,5.292043951020363,428,collagen-containing extracellular matrix,cell periphery,0.9029444444444444,0.5018571428571429,0.509
green,GO:0030312,external encapsulating structure,3.526133979700079e-8,2.1500840193517157e-5,CC,green,2,GO:0071944,4.6675445687225965,562,external encapsulating structure,cell periphery,0.9005833333333333,0.48971428571428577,0.531
green,GO:0031012,extracellular matrix,3.526133979700079e-8,2.1500840193517157e-5,CC,green,2,GO:0071944,4.6675445687225965,561,extracellular matrix,cell periphery,0.9005833333333333,0.48971428571428577,0.531
green,GO:0030141,secretory granule,8.307609067818334e-8,4.5272456081896e-5,CC,green,1,GO:0031982,4.344165943899266,898,secretory granule,vesicle,0.6439722222222222,0.4293157894736842,0.687
green,GO:0012506,vesicle membrane,1.4881357088318405e-7,7.561673361926836e-5,CC,green,1,GO:0031982,4.121382086584244,1247,vesicle membrane,vesicle,0.6612777777777779,0.4965263157894737,0.741
green,GO:0005615,extracellular space,1.6335566275115106e-7,8.208167276901379e-5,CC,green,3,GO:0005576,4.085753801514062,3580,extracellular space,extracellular region,0.8925555555555555,0.35850000000000004,0.859
green,GO:0030659,cytoplasmic vesicle membrane,2.9711193134567765e-7,1.390693419728181e-4,CC,green,1,GO:0031982,3.8567686002706103,1233,cytoplasmic vesicle membrane,vesicle,0.6294722222222222,0.4361052631578948,0.74
green,GO:0099503,secretory vesicle,5.116475328072148e-7,2.2241387259467387e-4,CC,green,1,GO:0031982,3.6528381280458215,1075,secretory vesicle,vesicle,0.6577222222222222,0.42594736842105263,0.708
green,GO:0012505,endomembrane system,2.170253059354216e-6,7.821578158480905e-4,CC,green,4,GO:0012505,3.106705610575687,4767,endomembrane system,endomembrane system,0.9315277777777777,1,0
green,GO:1903561,extracellular vesicle,2.5865734513248023e-6,9.189871438636041e-4,CC,green,3,GO:0005576,3.0366905641178596,2310,extracellular vesicle,extracellular region,0.6188611111111111,0.26683333333333337,0.762
green,GO:0043230,extracellular organelle,2.660361363969372e-6,9.407588202588246e-4,CC,green,3,GO:0005576,3.0265217011805357,2311,extracellular organelle,extracellular region,0.8359722222222222,0.26683333333333337,0.762
green,GO:0065010,extracellular membrane-bounded organelle,2.660361363969372e-6,9.407588202588246e-4,CC,green,3,GO:0005576,3.0265217011805357,2311,extracellular membrane-bounded organelle,extracellular region,0.8141666666666667,0.26683333333333337,0.762
green,GO:0070062,extracellular exosome,3.930277256619491e-6,0.001310191556386468,CC,green,3,GO:0005576,2.8826652037337084,2212,extracellular exosome,extracellular region,0.6183611111111111,0.25050000000000006,0.754
green,GO:0001772,immunological synapse,5.340092364657614e-6,0.0017089053026814248,CC,green,2,GO:0071944,2.76728200261711,45,immunological synapse,cell periphery,0.9220277777777778,0.7348571428571429,0.366
green,GO:0030139,endocytic vesicle,5.662740238309375e-6,0.0017993955284013774,CC,green,1,GO:0031982,2.7448733631015885,350,endocytic vesicle,vesicle,0.7063611111111111,0.5074736842105263,0.593
green,GO:0031093,platelet alpha granule lumen,2.9695253638635522e-5,0.007561564529811016,CC,green,1,GO:0031982,2.1213883372545963,67,platelet alpha granule lumen,vesicle,0.6886944444444445,0.4841578947368421,0.477
green,GO:0000323,lytic vacuole,3.899616808375295e-5,0.009573368314880853,CC,green,1,GO:0031982,2.018935232213609,757,lytic vacuole,vesicle,0.8693888888888889,0.7764736842105263,0.145
green,GO:0005764,lysosome,3.899616808375295e-5,0.009573368314880853,CC,green,1,GO:0031982,2.018935232213609,757,lysosome,vesicle,0.8693888888888889,0.7764736842105263,0.145
green,GO:0060205,cytoplasmic vesicle lumen,5.3961394083113466e-5,0.012628869418144428,CC,green,1,GO:0031982,1.8986355273099778,325,cytoplasmic vesicle lumen,vesicle,0.6953888888888888,0.4850526315789474,0.574
green,GO:0031983,vesicle lumen,5.758369554050682e-5,0.013393255207106953,CC,green,1,GO:0031982,1.8731138556489928,326,vesicle lumen,vesicle,0.7224444444444444,0.5363157894736842,0.574
green,GO:0005581,collagen trimer,7.93019919502986e-5,0.01735336799602994,CC,green,5,GO:0005581,1.7606162234587681,86,collagen trimer,collagen trimer,0.9938055555555556,1,0
green,GO:0016020,membrane,1.0132157261794166e-4,0.02144386491400921,CC,green,6,GO:0016020,1.6686969372835696,9678,membrane,membrane,0.9289444444444445,1,0
green,GO:0043020,NADPH oxidase complex,1.3342346030254857e-4,0.02666223815665012,CC,green,2,GO:0071944,1.5741033966219473,18,NADPH oxidase complex,cell periphery,0.9184722222222222,0.7434285714285714,0.351
green,GO:0030667,secretory granule membrane,1.4342045528428586e-4,0.02838341133042784,CC,green,1,GO:0031982,1.5469354089861205,317,secretory granule membrane,vesicle,0.6344444444444444,0.44852631578947366,0.597
green,GO:0030666,endocytic vesicle membrane,1.4620587068990798e-4,0.028858710836701783,CC,green,1,GO:0031982,1.5397230734161829,204,endocytic vesicle membrane,vesicle,0.6800277777777778,0.49968421052631573,0.551
green,GO:0034774,secretory granule lumen,1.620461772051756e-4,0.03145204543399527,CC,green,1,GO:0031982,1.5023511056460144,322,secretory granule lumen,vesicle,0.6531388888888889,0.4308421052631579,0.573
green,GO:0045335,phagocytic vesicle,1.8154500755896636e-4,0.03444774529468326,CC,green,1,GO:0031982,1.4628391986655753,142,phagocytic vesicle,vesicle,0.7301944444444444,0.5465263157894737,0.529
green,GO:0005773,vacuole,2.0872382731714552e-4,0.038714611432661444,CC,green,1,GO:0031982,1.4121250952664668,850,vacuole,vesicle,0.8684166666666666,0.7752105263157895,0.149
green,GO:0009986,cell surface,2.317342455789855e-4,0.042060790945353914,CC,green,7,GO:0009986,1.3761225647459194,904,cell surface,cell surface,0.9995833333333334,1,0
green,GO:0031091,platelet alpha granule,2.683322592773311e-4,0.047481130208281305,CC,green,1,GO:0031982,1.3234789519462147,91,platelet alpha granule,vesicle,0.7113333333333334,0.5301578947368422,0.498
