module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
greenyellow,GO:0005634,nucleus,1.0318903118412945e-15,4.157228093830615e-12,CC,greenyellow,1,GO:0005634,11.381196146488639,8188,nucleus,nucleus,0.7180952380952381,0.6890000000000001,0
greenyellow,GO:0031981,nuclear lumen,4.918781017021413e-15,1.7898809439519373e-11,CC,greenyellow,2,GO:0031981,10.747175855670552,4993,nuclear lumen,nuclear lumen,0.6110952380952381,0.34199999999999997,0
greenyellow,GO:0005654,nucleoplasm,8.434111123476707e-15,2.883060319041788e-11,CC,greenyellow,2,GO:0031981,10.540146271259742,4177,nucleoplasm,nuclear lumen,0.621904761904762,0.346,0.862
greenyellow,GO:0031974,membrane-enclosed lumen,3.633128152407683e-11,4.2251033116736975e-8,CC,greenyellow,2,GO:0031981,7.374162667272573,6126,membrane-enclosed lumen,nuclear lumen,0.7840952380952381,0.3534285714285714,0.85
greenyellow,GO:0043233,organelle lumen,3.633128152407683e-11,4.2251033116736975e-8,CC,greenyellow,2,GO:0031981,7.374162667272573,6126,organelle lumen,nuclear lumen,0.708952380952381,0.3534285714285714,0.85
greenyellow,GO:0070013,intracellular organelle lumen,3.633128152407683e-11,4.2251033116736975e-8,CC,greenyellow,2,GO:0031981,7.374162667272573,6126,intracellular organelle lumen,nuclear lumen,0.6967619047619047,0.3534285714285714,0.85
greenyellow,GO:0140513,nuclear protein-containing complex,9.561104455905391e-11,1.007981671166736e-7,CC,greenyellow,1,GO:0005634,6.9965473648979515,1308,nuclear protein-containing complex,nucleus,0.642,0.7841428571428571,0.524
greenyellow,GO:0016604,nuclear body,6.158453880037637e-9,4.525761497965118e-6,CC,greenyellow,2,GO:0031981,5.344308336560454,859,nuclear body,nuclear lumen,0.6923809523809523,0.43300000000000005,0.631
greenyellow,GO:0016607,nuclear speck,2.2966319389443595e-8,1.4804089478435341e-5,CC,greenyellow,2,GO:0031981,4.82961829861926,416,nuclear speck,nuclear lumen,0.7201428571428572,0.4804285714285714,0.563
greenyellow,GO:1990904,ribonucleoprotein complex,5.4795625235876044e-8,3.129731901130632e-5,CC,greenyellow,3,GO:1990904,4.5044928633629455,1151,ribonucleoprotein complex,ribonucleoprotein complex,0.7925714285714286,0.4435714285714286,0
greenyellow,GO:0005694,chromosome,1.383847434788738e-7,7.095677721879254e-5,CC,greenyellow,1,GO:0005634,4.1490061179209645,1971,chromosome,nucleus,0.9022380952380953,0.8584285714285714,0.163
greenyellow,GO:0043231,intracellular membrane-bounded organelle,3.988884702308099e-7,1.796272011352755e-4,CC,greenyellow,1,GO:0005634,3.745627897020295,12711,intracellular membrane-bounded organelle,nucleus,0.7833333333333333,0.6648571428571428,0.464
greenyellow,GO:0005681,spliceosomal complex,6.422691346376556e-7,2.6685513713738763e-4,CC,greenyellow,3,GO:1990904,3.5737244323247155,208,spliceosomal complex,ribonucleoprotein complex,0.6457142857142857,0.399,0.812
greenyellow,GO:0043227,membrane-bounded organelle,9.386904006277759e-7,3.728484881789305e-4,CC,greenyellow,1,GO:0005634,3.4284676135412235,13930,membrane-bounded organelle,nucleus,0.8053333333333333,0.6888571428571428,0.402
greenyellow,GO:0043229,intracellular organelle,1.3831678298340613e-6,5.262335482105608e-4,CC,greenyellow,1,GO:0005634,3.2788214684162402,13855,intracellular organelle,nucleus,0.8200000000000001,0.7048571428571428,0.338
greenyellow,GO:0071005,U2-type precatalytic spliceosome,1.7464373410540415e-6,6.480488955842143e-4,CC,greenyellow,3,GO:1990904,3.1883922251767904,50,U2-type precatalytic spliceosome,ribonucleoprotein complex,0.6913333333333334,0.42914285714285716,0.644
greenyellow,GO:0071011,precatalytic spliceosome,2.328163358696306e-6,8.35066669881516e-4,CC,greenyellow,3,GO:1990904,3.07827885001844,53,precatalytic spliceosome,ribonucleoprotein complex,0.6908095238095238,0.4405714285714286,0.664
greenyellow,GO:0032991,protein-containing complex,4.192253897008068e-6,0.0013827695931344886,CC,greenyellow,3,GO:1990904,2.859250179085587,6947,protein-containing complex,ribonucleoprotein complex,0.8382380952380952,0.603,0.582
greenyellow,GO:0005684,U2-type spliceosomal complex,6.8777356012349e-6,0.0021551193458258415,CC,greenyellow,3,GO:1990904,2.666528674552705,95,U2-type spliceosomal complex,ribonucleoprotein complex,0.6734285714285715,0.4234285714285714,0.721
greenyellow,GO:0043226,organelle,5.677746753438508e-5,0.0132193647579284,CC,greenyellow,1,GO:0005634,1.8787894138938634,14798,organelle,nucleus,0.8393809523809523,0.7278571428571429,0.286
greenyellow,GO:1902494,catalytic complex,1.655744403901134e-4,0.032037092192464395,CC,greenyellow,3,GO:1990904,1.4943469090071413,1746,catalytic complex,ribonucleoprotein complex,0.8594285714285714,0.649,0.472
