module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
pink,GO:0098687,chromosomal region,8.745683806182296e-15,2.9449458559892355e-11,CC,pink,1,GO:0098687,10.530922685481723,402,chromosomal region,chromosomal region,0.55748,0.46438888888888885,0
pink,GO:0000775,"chromosome, centromeric region",2.487805825881724e-13,5.786328581207997e-10,CC,pink,1,GO:0098687,9.237596908234922,257,"chromosome, centromeric region",chromosomal region,0.5667599999999999,0.47383333333333333,0.948
pink,GO:0015630,microtubule cytoskeleton,3.3960537459688775e-13,7.661836856280384e-10,CC,pink,1,GO:0098687,9.115667099699785,1405,microtubule cytoskeleton,chromosomal region,0.513,0.43733333333333335,0.441
pink,GO:0005819,spindle,1.027794981815029e-12,1.9323402153940724e-9,CC,pink,1,GO:0098687,8.713916407599358,433,spindle,chromosomal region,0.5518799999999999,0.47411111111111115,0.375
pink,GO:0000793,condensed chromosome,1.4715158610687746e-12,2.65590954732581e-9,CC,pink,1,GO:0098687,8.575786719878645,281,condensed chromosome,chromosomal region,0.57852,0.49077777777777776,0.614
pink,GO:0000779,"condensed chromosome, centromeric region",1.785282376449925e-11,2.3148135456946412e-8,CC,pink,1,GO:0098687,7.635483984921233,181,"condensed chromosome, centromeric region",chromosomal region,0.5596,0.4615555555555556,0.918
pink,GO:0000776,kinetochore,7.647758619845337e-11,8.138730293506161e-8,CC,pink,1,GO:0098687,7.089443343210938,170,kinetochore,chromosomal region,0.50308,0.46377777777777773,0.913
pink,GO:0030496,midbody,1.0417450730958674e-9,8.672623835467109e-7,CC,pink,2,GO:0030496,6.061849490197225,205,midbody,midbody,0.99988,1,0
pink,GO:0005694,chromosome,1.2290691481834776e-9,1.0157153498962432e-6,CC,pink,1,GO:0098687,5.993227984266661,1971,chromosome,chromosomal region,0.53188,0.4445555555555556,0.768
pink,GO:0000940,outer kinetochore,4.893026848993017e-9,3.631301932241166e-6,CC,pink,1,GO:0098687,5.439937639257127,20,outer kinetochore,chromosomal region,0.5669200000000001,0.5380555555555555,0.779
pink,GO:0072686,mitotic spindle,1.3381342917335344e-8,8.967263670648226e-6,CC,pink,1,GO:0098687,5.047340060192654,184,mitotic spindle,chromosomal region,0.5929599999999999,0.522,0.339
pink,GO:0005856,cytoskeleton,1.5155104077995645e-7,7.6834674854755e-5,CC,pink,1,GO:0098687,4.1144427422139795,2424,cytoskeleton,chromosomal region,0.51932,0.44577777777777783,0.467
pink,GO:0005874,microtubule,2.9466285500410064e-07,1.3820974369537452e-4,CC,pink,3,GO:0005874,3.859461338409235,468,microtubule,microtubule,0.51544,0.4063333333333333,0
pink,GO:0005813,centrosome,3.308618400513801e-7,1.5264977450714083e-4,CC,pink,1,GO:0098687,3.816303832900706,733,centrosome,chromosomal region,0.56376,0.49383333333333335,0.388
pink,GO:0000228,nuclear chromosome,6.332109797718371e-7,2.6357699104487855e-4,CC,pink,1,GO:0098687,3.5790925041629507,226,nuclear chromosome,chromosomal region,0.59516,0.5602222222222222,0.602
pink,GO:0043228,non-membrane-bounded organelle,1.2963459669659185e-6,4.982429533342093e-4,CC,pink,1,GO:0098687,3.302558834824584,5829,non-membrane-bounded organelle,chromosomal region,0.5624,0.4856111111111111,0.525
pink,GO:0043232,intracellular non-membrane-bounded organelle,1.2963459669659185e-6,4.982429533342093e-4,CC,pink,1,GO:0098687,3.302558834824584,5828,intracellular non-membrane-bounded organelle,chromosomal region,0.5602,0.48550000000000004,0.525
pink,GO:0005815,microtubule organizing center,1.8673110133976362e-6,6.883726106742496e-4,CC,pink,1,GO:0098687,3.1621764179343614,876,microtubule organizing center,chromosomal region,0.544,0.4711666666666666,0.406
pink,GO:0000922,spindle pole,2.9847367731280217e-6,0.0010407827873035748,CC,pink,1,GO:0098687,2.982639898845481,177,spindle pole,chromosomal region,0.5956,0.525,0.337
pink,GO:0051233,spindle midzone,7.823198565961494e-6,0.002404621019709227,CC,pink,1,GO:0098687,2.6189533608778333,37,spindle midzone,chromosomal region,0.64324,0.5807222222222223,0.296
pink,GO:0099513,polymeric cytoskeletal fiber,1.4380814119417733e-5,0.004066064266348502,CC,pink,3,GO:0005874,2.3908257613841695,796,polymeric cytoskeletal fiber,microtubule,0.5207200000000001,0.39,0.94
pink,GO:0099080,supramolecular complex,1.658356592189975e-5,0.004630468202524508,CC,pink,3,GO:0005874,2.334375093756913,1416,supramolecular complex,microtubule,0.87412,0.42300000000000004,0.841
pink,GO:0031261,DNA replication preinitiation complex,1.8166393835994018e-5,0.004979975836377413,CC,pink,4,GO:0071162,2.302772764500004,13,DNA replication preinitiation complex,CMG complex,0.88336,0.5843333333333334,0.974
pink,GO:0071162,CMG complex,1.8166393835994018e-5,0.004979975836377413,CC,pink,4,GO:0071162,2.302772764500004,11,CMG complex,CMG complex,0.6477200000000001,0.5880000000000001,0
pink,GO:0005634,nucleus,6.250984752894783e-5,0.01430308996045225,CC,pink,4,GO:0071162,1.844570129821005,8188,nucleus,CMG complex,0.8654,0.8216666666666667,0.262
