module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
turquoise,GO:0071944,cell periphery,7.416014815174261e-34,1.2278555958243092e-28,CC,turquoise,1,GO:0071944,27.910852706178822,6363,cell periphery,cell periphery,0.9158620689655173,0.5628,0
turquoise,GO:0062023,collagen-containing extracellular matrix,2.2514737420978094e-31,1.6931833031822892e-26,CC,turquoise,1,GO:0071944,25.771296022841277,428,collagen-containing extracellular matrix,cell periphery,0.8835689655172414,0.3598,0.509
turquoise,GO:0030312,external encapsulating structure,1.9532329311015988e-30,8.813377631716634e-26,CC,turquoise,1,GO:0071944,25.05485762102084,562,external encapsulating structure,cell periphery,0.8840689655172413,0.3637,0.531
turquoise,GO:0031012,extracellular matrix,1.9532329311015988e-30,8.813377631716634e-26,CC,turquoise,1,GO:0071944,25.05485762102084,561,extracellular matrix,cell periphery,0.8840689655172413,0.3637,0.531
turquoise,GO:0005576,extracellular region,9.226053952446803e-28,2.9735571888736045e-23,CC,turquoise,2,GO:0005576,22.526723704525256,4570,extracellular region,extracellular region,0.9231379310344827,0.36757142857142855,0
turquoise,GO:0005615,extracellular space,9.162970057497273e-23,1.489424187371977e-18,CC,turquoise,2,GO:0005576,17.826981597748667,3580,extracellular space,extracellular region,0.9228793103448276,0.36442857142857144,0.859
turquoise,GO:0005886,plasma membrane,3.749026487690363e-16,1.6916357317756456e-12,CC,turquoise,1,GO:0071944,11.771693149991737,5881,plasma membrane,cell periphery,0.8908793103448276,0.5645,0.847
turquoise,GO:0031982,vesicle,3.2237288112964843e-12,5.015899704252413e-9,CC,turquoise,3,GO:0031982,8.299651156053978,4180,vesicle,vesicle,0.8154827586206896,0.43300000000000005,0
turquoise,GO:0030141,secretory granule,4.568310347788537e-12,6.756963495940638e-9,CC,turquoise,3,GO:0031982,8.170248427316608,898,secretory granule,vesicle,0.7599655172413793,0.30192857142857144,0.687
turquoise,GO:1903561,extracellular vesicle,2.414662876822354e-11,3.0434195063681074e-8,CC,turquoise,2,GO:0005576,7.51663818016116,2310,extracellular vesicle,extracellular region,0.7699137931034483,0.3044285714285715,0.762
turquoise,GO:0043230,extracellular organelle,2.591070910145968e-11,3.2119313628463284e-8,CC,turquoise,2,GO:0005576,7.493233743921248,2311,extracellular organelle,extracellular region,0.8836896551724138,0.3044285714285715,0.762
turquoise,GO:0065010,extracellular membrane-bounded organelle,2.591070910145968e-11,3.2119313628463284e-8,CC,turquoise,2,GO:0005576,7.493233743921248,2311,extracellular membrane-bounded organelle,extracellular region,0.8728275862068966,0.3044285714285715,0.762
turquoise,GO:0070062,extracellular exosome,1.4137261951404079e-10,1.4238873521679796e-7,CC,turquoise,2,GO:0005576,6.846524367628226,2212,extracellular exosome,extracellular region,0.7679827586206897,0.27828571428571425,0.754
turquoise,GO:0099503,secretory vesicle,1.558186149948571e-10,1.5486448338761986e-7,CC,turquoise,3,GO:0031982,6.8100481718946595,1075,secretory vesicle,vesicle,0.7785,0.3084285714285715,0.708
turquoise,GO:0005604,basement membrane,7.467830800136477e-10,6.357801157806757e-7,CC,turquoise,1,GO:0071944,6.196693058902794,92,basement membrane,cell periphery,0.8981551724137931,0.43900000000000006,0.41
turquoise,GO:0005788,endoplasmic reticulum lumen,3.48216199540741e-9,2.663086670453782e-6,CC,turquoise,4,GO:0005788,5.574614699168529,313,endoplasmic reticulum lumen,endoplasmic reticulum lumen,0.8906206896551724,0.7316666666666667,0
turquoise,GO:0009986,cell surface,9.579066176293186e-9,6.7535410001047054e-6,CC,turquoise,5,GO:0009986,5.170468459231494,904,cell surface,cell surface,0.9843275862068965,1,0
turquoise,GO:0098552,side of membrane,1.213612377068051e-8,8.322282321894315e-6,CC,turquoise,6,GO:0098552,5.07975755545474,730,side of membrane,side of membrane,0.9618103448275862,0.5726666666666667,0
turquoise,GO:0099081,supramolecular polymer,1.2750630347285003e-8,8.638647785738647e-6,CC,turquoise,7,GO:0099081,5.0635542326544085,1050,supramolecular polymer,supramolecular polymer,0.8489827586206896,0.249375,0
turquoise,GO:0043292,contractile fiber,2.3205480036091908e-8,1.4915636327472067e-5,CC,turquoise,7,GO:0099081,4.826358214134647,250,contractile fiber,supramolecular polymer,0.7837241379310345,0.21099999999999997,0.852
turquoise,GO:0015629,actin cytoskeleton,2.4522734661307248e-8,1.5717540246981613e-5,CC,turquoise,8,GO:0015629,4.803615418903994,510,actin cytoskeleton,actin cytoskeleton,0.8841206896551724,0.34220000000000006,0
turquoise,GO:0099512,supramolecular fiber,3.83370845387488e-8,2.3064612380765646e-5,CC,turquoise,7,GO:0099081,4.637053839660054,1042,supramolecular fiber,supramolecular polymer,0.8488620689655173,0.24887499999999996,0.984
turquoise,GO:0005581,collagen trimer,6.739410022686935e-8,3.7266624882803906e-5,CC,turquoise,9,GO:0005581,4.428679938106052,86,collagen trimer,collagen trimer,0.9721551724137931,0.8563333333333334,0
turquoise,GO:0016020,membrane,1.6522967695176129e-7,8.283881648241526e-5,CC,turquoise,6,GO:0098552,4.0817661144964505,9678,membrane,side of membrane,0.9617586206896551,0.777,0.35
turquoise,GO:0031091,platelet alpha granule,2.4001036730674795e-7,1.1570243369246882e-4,CC,turquoise,3,GO:0031982,3.936657505973973,91,platelet alpha granule,vesicle,0.8045,0.4168571428571428,0.498
turquoise,GO:0030016,myofibril,2.604894517923142e-7,1.2346433869509245e-4,CC,turquoise,7,GO:0099081,3.908458465436064,240,myofibril,supramolecular polymer,0.7843103448275862,0.21087500000000003,0.846
turquoise,GO:0009897,external side of plasma membrane,4.202568113412324e-7,1.877507707063276e-4,CC,turquoise,6,GO:0098552,3.726418271565774,405,external side of plasma membrane,side of membrane,0.8967931034482759,0.583,0.932
turquoise,GO:0005796,Golgi lumen,5.066138698560248e-7,2.206508787224281e-4,CC,turquoise,4,GO:0005788,3.656294338674338,106,Golgi lumen,endoplasmic reticulum lumen,0.9010344827586207,0.753,0.313
turquoise,GO:0005884,actin filament,5.25280465439772e-7,2.2616130879363926e-4,CC,turquoise,8,GO:0015629,3.6455816912526595,119,actin filament,actin cytoskeleton,0.8007068965517241,0.40780000000000005,0.836
turquoise,GO:0012505,endomembrane system,5.263171362200972e-7,2.2617601733831646e-4,CC,turquoise,4,GO:0005788,3.6455534475529983,4767,endomembrane system,endoplasmic reticulum lumen,0.9187931034482759,0.6933333333333334,0.492
turquoise,GO:0030055,cell-substrate junction,9.323475731385077e-7,3.7163769607028043e-4,CC,turquoise,10,GO:0030055,3.42988024095127,431,cell-substrate junction,cell-substrate junction,0.9706724137931034,0.43633333333333335,0
turquoise,GO:0034774,secretory granule lumen,1.292570755650574e-6,4.982429533342093e-4,CC,turquoise,3,GO:0031982,3.302558834824584,322,secretory granule lumen,vesicle,0.7669310344827587,0.2906428571428572,0.573
turquoise,GO:0060205,cytoplasmic vesicle lumen,1.6871946847517645e-6,6.270971875236336e-4,CC,turquoise,3,GO:0031982,3.2026651469932763,325,cytoplasmic vesicle lumen,vesicle,0.8054827586206896,0.41535714285714287,0.574
turquoise,GO:0031983,vesicle lumen,1.9239999052239946e-6,7.035228826865242e-4,CC,turquoise,3,GO:0031982,3.15272177219815,326,vesicle lumen,vesicle,0.8302758620689655,0.46878571428571425,0.574
turquoise,GO:0098644,complex of collagen trimers,1.9361535321205063e-6,7.068213566047046e-4,CC,turquoise,1,GO:0071944,3.1506903367608436,21,complex of collagen trimers,cell periphery,0.8048275862068965,0.41179999999999994,0.362
turquoise,GO:0030017,sarcomere,2.6409752110804213e-6,9.368402788865626e-4,CC,turquoise,7,GO:0099081,3.0283344453032024,219,sarcomere,supramolecular polymer,0.7866206896551724,0.21450000000000002,0.83
turquoise,GO:0070820,tertiary granule,5.289550386593509e-6,0.001699965046608777,CC,turquoise,3,GO:0031982,2.7695600081634857,164,tertiary granule,vesicle,0.795344827586207,0.3928571428571428,0.534
turquoise,GO:0005925,focal adhesion,5.330150302103855e-6,0.001708146604627345,CC,turquoise,10,GO:0030055,2.767474857974693,421,focal adhesion,cell-substrate junction,0.9707241379310345,0.43733333333333335,0.991
turquoise,GO:0101002,ficolin-1-rich granule,1.3574426439514232e-5,0.0038766156316693747,CC,turquoise,3,GO:0031982,2.4115472573678955,185,ficolin-1-rich granule,vesicle,0.7961034482758621,0.3948571428571428,0.531
turquoise,GO:0030667,secretory granule membrane,1.7777284059554862e-5,0.004912059840633299,CC,turquoise,3,GO:0031982,2.3087363510895,317,secretory granule membrane,vesicle,0.7588448275862069,0.3534285714285714,0.597
turquoise,GO:0072562,blood microparticle,1.9640160227999242e-5,0.005325741044517919,CC,turquoise,2,GO:0005576,2.2736199542453774,144,blood microparticle,extracellular region,0.9466379310344828,0.5581428571428572,0.528
turquoise,GO:0005737,cytoplasm,1.97843338585512e-5,0.0053519706976351755,CC,turquoise,11,GO:0005737,2.271486273022406,12174,cytoplasm,cytoplasm,0.9256206896551724,1,0
turquoise,GO:0031410,cytoplasmic vesicle,2.044001537724736e-5,0.005502949724654865,CC,turquoise,3,GO:0031982,2.2594044549163934,2521,cytoplasmic vesicle,vesicle,0.7857758620689655,0.3752142857142857,0.856
turquoise,GO:0097708,intracellular vesicle,2.318994736885372e-5,0.006119162603376711,CC,turquoise,3,GO:0031982,2.213308006223031,2527,intracellular vesicle,vesicle,0.7983620689655172,0.3752857142857142,0.857
turquoise,GO:0099080,supramolecular complex,2.8086212052994134e-5,0.007225234094955537,CC,turquoise,7,GO:0099081,2.141148077360281,1416,supramolecular complex,supramolecular polymer,0.8558275862068966,0.28525,0.935
turquoise,GO:0031674,I band,4.82297514298061e-5,0.011526604046693385,CC,turquoise,7,GO:0099081,1.938298625144054,145,I band,supramolecular polymer,0.7946724137931034,0.23712500000000003,0.784
turquoise,GO:0031093,platelet alpha granule lumen,5.0963149398514007e-5,0.012026983405647222,CC,turquoise,3,GO:0031982,1.9198432882516347,67,platelet alpha granule lumen,vesicle,0.7906896551724139,0.352,0.477
turquoise,GO:0101003,ficolin-1-rich granule membrane,6.145036074933011e-5,0.014089243789284925,CC,turquoise,3,GO:0031982,1.8511123161137901,61,ficolin-1-rich granule membrane,vesicle,0.7883103448275862,0.4109285714285714,0.472
turquoise,GO:0005583,fibrillar collagen trimer,6.964316138431654e-5,0.015525883043394915,CC,turquoise,1,GO:0071944,1.8089436897041957,12,fibrillar collagen trimer,cell periphery,0.7781551724137932,0.41990000000000005,0.35
turquoise,GO:0098643,banded collagen fibril,6.964316138431654e-5,0.015525883043394915,CC,turquoise,1,GO:0071944,1.8089436897041957,12,banded collagen fibril,cell periphery,0.8007068965517241,0.41990000000000005,0.35
turquoise,GO:0030018,Z disc,7.881491298758628e-5,0.017304008280962322,CC,turquoise,7,GO:0099081,1.7618532857340492,131,Z disc,supramolecular polymer,0.7968103448275862,0.245,0.774
turquoise,GO:0005833,hemoglobin complex,9.349804179071361e-5,0.01999440114540559,CC,turquoise,9,GO:0005581,1.6990915989393423,12,hemoglobin complex,collagen trimer,0.9486206896551724,0.8623333333333334,0.22
turquoise,GO:0030054,cell junction,1.50307615515302e-4,0.029539112488159654,CC,turquoise,10,GO:0030055,1.5296025573411032,2217,cell junction,cell-substrate junction,0.9754827586206897,0.5343333333333333,0.7
turquoise,GO:0098802,plasma membrane signaling receptor complex,1.8058744556504627e-4,0.034381716113021175,CC,turquoise,1,GO:0071944,1.4636724499347469,325,plasma membrane signaling receptor complex,cell periphery,0.9108103448275862,0.6855,0.482
turquoise,GO:0032432,actin filament bundle,2.4314093406869566e-4,0.04350121025792104,CC,turquoise,8,GO:0015629,1.3614986602631747,95,actin filament bundle,actin cytoskeleton,0.8900689655172414,0.29680000000000006,0.823
turquoise,GO:0031838,haptoglobin-hemoglobin complex,2.7535679679709503e-4,0.04845807092464322,CC,turquoise,9,GO:0005581,1.3146338787552232,11,haptoglobin-hemoglobin complex,collagen trimer,0.9856551724137931,0.8653333333333333,0.211
turquoise,GO:0001725,stress fiber,2.773760640157407e-4,0.04870457700952107,CC,turquoise,8,GO:0015629,1.3124302240712915,85,stress fiber,actin cytoskeleton,0.8906206896551724,0.29800000000000004,0.815
turquoise,GO:0097517,contractile actin filament bundle,2.773760640157407e-4,0.04870457700952107,CC,turquoise,8,GO:0015629,1.3124302240712915,85,contractile actin filament bundle,actin cytoskeleton,0.8906206896551724,0.29800000000000004,0.815
