module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
black,GO:0003735,structural constituent of ribosome,1.2855862857710381e-23,2.4170093494400324e-19,MF,black,1,GO:0003735,18.61672166965757,176,structural constituent of ribosome,structural constituent of ribosome,0.9426666666666667,0.5700000000000001,0
black,GO:0005515,protein binding,1.3434720273875416e-9,1.0981910293438523e-6,MF,black,2,GO:0005515,5.959322108179343,14090,protein binding,protein binding,0.9901333333333333,1,0
black,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,6.41567105067058e-8,3.582771152826212e-5,MF,black,3,GO:0015453,4.44578093122514,68,oxidoreduction-driven active transmembrane transporter activity,oxidoreduction-driven active transmembrane transporter activity,0.8251999999999999,0.44866666666666666,0
black,GO:0015399,primary active transmembrane transporter activity,5.826773231426302e-7,2.4710118585377595e-4,MF,black,3,GO:0015453,3.607125170387012,165,primary active transmembrane transporter activity,oxidoreduction-driven active transmembrane transporter activity,0.8256666666666667,0.4116666666666666,0.881
black,GO:0009055,electron transfer activity,1.8226137089355598e-6,6.740981620868059e-4,MF,black,4,GO:0009055,3.1712768569535488,117,electron transfer activity,electron transfer activity,0.9382,1,0
black,GO:0003723,RNA binding,5.002555911036095e-6,0.0016154166189517082,MF,black,5,GO:0003723,2.791715453532259,2014,RNA binding,RNA binding,0.9538,0.702,0
black,GO:0022804,active transmembrane transporter activity,5.323522902072961e-6,0.001708146604627345,MF,black,3,GO:0015453,2.767474857974693,454,active transmembrane transporter activity,oxidoreduction-driven active transmembrane transporter activity,0.8399333333333333,0.44766666666666666,0.773
black,GO:0008137,NADH dehydrogenase (ubiquinone) activity,8.988254503167494e-6,0.0027292598902552063,MF,black,6,GO:0008137,2.5639551072287228,41,NADH dehydrogenase (ubiquinone) activity,NADH dehydrogenase (ubiquinone) activity,0.5584,0.373,0
black,GO:0031386,protein tag activity,1.0131122469852985e-5,0.0029922701876183124,MF,black,7,GO:0031386,2.523999194332346,13,protein tag activity,protein tag activity,1,1,0
black,GO:0141047,molecular tag activity,1.0131122469852985e-5,0.0029922701876183124,MF,black,NA,NA,NA,NA,NA,NA,NA,NA,NA
black,GO:0005198,structural molecule activity,1.1532296960722025e-5,0.003365849310877744,MF,black,1,GO:0003735,2.4729053312951947,821,structural molecule activity,structural constituent of ribosome,0.9426666666666667,0.5700000000000001,0.86
black,GO:0003954,NADH dehydrogenase activity,1.4977736476948222e-5,0.004213375469531532,MF,black,6,GO:0008137,2.3753698375548953,44,NADH dehydrogenase activity,NADH dehydrogenase (ubiquinone) activity,0.7992666666666667,0.39780000000000004,0.984
black,GO:0050136,NADH dehydrogenase (quinone) activity,1.4977736476948222e-5,0.004213375469531532,MF,black,6,GO:0008137,2.3753698375548953,42,NADH dehydrogenase (quinone) activity,NADH dehydrogenase (ubiquinone) activity,0.7908666666666666,0.37260000000000004,0.998
black,GO:0003955,NAD(P)H dehydrogenase (quinone) activity,3.777980498325735e-5,0.009325494313208635,MF,black,6,GO:0008137,2.030328138413744,45,NAD(P)H dehydrogenase (quinone) activity,NADH dehydrogenase (ubiquinone) activity,0.7982666666666667,0.39480000000000004,0.992
black,GO:0019843,rRNA binding,4.049843588497924e-5,0.009920577763311799,MF,black,5,GO:0003723,2.003463034286206,67,rRNA binding,RNA binding,0.9568666666666666,0.702,0.596
black,GO:0004298,threonine-type endopeptidase activity,1.3703834856906386e-4,0.027287927467490286,MF,black,6,GO:0008137,1.5640294479729324,9,threonine-type endopeptidase activity,NADH dehydrogenase (ubiquinone) activity,0.9568666666666666,0.8706,0.161
