module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
brown,GO:0003676,nucleic acid binding,2.730148500554099e-16,1.2832266733541881e-12,MF,brown,1,GO:0003676,11.891696621651759,4366,nucleic acid binding,nucleic acid binding,0.4354,0.3485384615384616,0
brown,GO:0097159,organic cyclic compound binding,1.040860017344201e-12,1.940730814157233e-9,MF,brown,1,GO:0003676,8.712034698528878,6393,organic cyclic compound binding,nucleic acid binding,0.4983333333333333,0.4211538461538462,0.798
brown,GO:0003677,DNA binding,3.3327847669863813e-10,3.0318934325798284e-7,MF,brown,1,GO:0003676,6.518286067702218,2535,DNA binding,nucleic acid binding,0.3892,0.2952307692307692,0.795
brown,GO:0003723,RNA binding,1.7179765257120553e-9,1.3793333948964299e-6,MF,brown,1,GO:0003676,5.860330749006298,2014,RNA binding,nucleic acid binding,0.48960000000000004,0.4110769230769231,0.746
brown,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.4381983442870904e-5,0.004066064266348502,MF,brown,2,GO:0000981,2.3908257613841695,1370,"DNA-binding transcription factor activity, RNA polymerase II-specific","DNA-binding transcription factor activity, RNA polymerase II-specific",0.9378,0.5335,0
brown,GO:0043565,sequence-specific DNA binding,1.74616861685276e-5,0.004857621475316291,MF,brown,1,GO:0003676,2.3135763301208905,1673,sequence-specific DNA binding,nucleic acid binding,0.38073333333333337,0.28546153846153843,0.735
brown,GO:0003690,double-stranded DNA binding,1.9557402460427963e-5,0.005309681791933998,MF,brown,1,GO:0003676,2.2749315053117716,1658,double-stranded DNA binding,nucleic acid binding,0.3796666666666667,0.2842307692307693,0.726
brown,GO:0003700,DNA-binding transcription factor activity,4.647767569947025e-5,0.011238830026320989,MF,brown,2,GO:0000981,1.9492788969128114,1458,DNA-binding transcription factor activity,"DNA-binding transcription factor activity, RNA polymerase II-specific",0.9378,0.5335,0.933
brown,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,4.9112680469868665e-5,0.011651221704318685,MF,brown,1,GO:0003676,1.9336285337258725,1402,RNA polymerase II transcription regulatory region sequence-specific DNA binding,nucleic acid binding,0.3603333333333333,0.2619230769230769,0.67
brown,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,5.340622874258338e-5,0.01252492647257197,MF,brown,1,GO:0003676,1.90222481497369,1194,RNA polymerase II cis-regulatory region sequence-specific DNA binding,nucleic acid binding,0.3721333333333333,0.2755384615384615,0.646
brown,GO:0000976,transcription cis-regulatory region binding,7.9065775471661e-5,0.01733530573776622,MF,brown,1,GO:0003676,1.761068494414053,1500,transcription cis-regulatory region binding,nucleic acid binding,0.3491333333333333,0.249,0.69
brown,GO:0001067,transcription regulatory region nucleic acid binding,8.27548738910068e-5,0.018021551253426683,MF,brown,1,GO:0003676,1.7442078286839755,1502,transcription regulatory region nucleic acid binding,nucleic acid binding,0.43013333333333337,0.3424615384615385,0.69
brown,GO:0000987,cis-regulatory region sequence-specific DNA binding,8.873208229823839e-5,0.019156789557230203,MF,brown,1,GO:0003676,1.7176772715834017,1218,cis-regulatory region sequence-specific DNA binding,nucleic acid binding,0.3713333333333333,0.2746153846153846,0.651
brown,GO:1990837,sequence-specific double-stranded DNA binding,9.225544933266525e-5,0.019803760155987258,MF,brown,1,GO:0003676,1.7032523420639432,1563,sequence-specific double-stranded DNA binding,nucleic acid binding,0.3706666666666667,0.27384615384615385,0.718
brown,GO:0140657,ATP-dependent activity,1.0653267296285783e-4,0.02224321910092405,MF,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
brown,GO:0003729,mRNA binding,2.2278775461704995e-4,0.040864345787928975,MF,brown,1,GO:0003676,1.3886554494667451,645,mRNA binding,nucleic acid binding,0.5662666666666667,0.4995384615384615,0.604
