module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
green,GO:0005102,signaling receptor binding,1.440335619648326e-10,1.4442405295504836e-7,MF,green,1,GO:0005102,6.840360471615839,1511,signaling receptor binding,signaling receptor binding,0.8886000000000001,0.6666666666666666,0
green,GO:0005201,extracellular matrix structural constituent,1.3332170974483011e-8,8.967263670648226e-6,MF,green,2,GO:0005201,5.047340060192654,166,extracellular matrix structural constituent,extracellular matrix structural constituent,1,1,0
green,GO:0004888,transmembrane signaling receptor activity,4.108962005741423e-7,1.839331186736751e-4,MF,green,3,GO:0004888,3.7353400654207842,1311,transmembrane signaling receptor activity,transmembrane signaling receptor activity,0.7458,0.36449999999999994,0
green,GO:0038023,signaling receptor activity,8.456731782415155e-7,3.3888512565376255e-4,MF,green,3,GO:0004888,3.4699474927980853,1537,signaling receptor activity,transmembrane signaling receptor activity,0.7411,0.35275,0.93
green,GO:0060089,molecular transducer activity,8.456731782415155e-7,3.3888512565376255e-4,MF,green,3,GO:0004888,3.4699474927980853,1537,molecular transducer activity,transmembrane signaling receptor activity,0.7411,0.35275,0.93
green,GO:0005178,integrin binding,9.008915904142674e-7,3.597347817935626e-4,MF,green,1,GO:0005102,3.4440175693798927,157,integrin binding,signaling receptor binding,0.9029,0.7073333333333334,0.683
green,GO:0140375,immune receptor activity,2.8498926723671262e-6,0.001001650340358997,MF,green,3,GO:0004888,2.9992838570662106,151,immune receptor activity,transmembrane signaling receptor activity,0.7922,0.48050000000000004,0.682
green,GO:0005515,protein binding,1.390525875072329e-4,0.027615892841115156,MF,green,1,GO:0005102,1.5588409111692105,14090,protein binding,signaling receptor binding,0.9348,0.8293333333333334,0.317
green,GO:0140311,protein sequestering activity,1.7528175858432486e-4,0.03359840064078975,MF,green,4,GO:0140311,1.4736813955093053,29,protein sequestering activity,protein sequestering activity,1,1,0
green,GO:0001851,complement component C3b binding,2.406947547990237e-4,0.04320059159125516,MF,green,5,GO:0001851,1.3645103058920676,11,complement component C3b binding,complement component C3b binding,0.9653,1,0
