module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
brown,GO:0008380,RNA splicing,4.2162961866144597e-19,2.6423293962835783e-15,BP,brown,1,GO:0008380,14.5780130436211,484,RNA splicing,RNA splicing,0.41200000000000003,0.3623478260869565,0
brown,GO:0006396,RNA processing,5.988115420716507e-18,3.464048000173977e-14,BP,brown,1,GO:0008380,13.46041609873718,1466,RNA processing,RNA splicing,0.39352,0.3423478260869566,0.882
brown,GO:0006397,mRNA processing,5.209638563842824e-16,2.304601090957999e-12,BP,brown,1,GO:0008380,11.637404236863691,525,mRNA processing,RNA splicing,0.40152,0.3509130434782609,0.799
brown,GO:0016071,mRNA metabolic process,8.454099955744264e-14,2.2706303464469805e-10,BP,brown,1,GO:0008380,9.643853562198247,872,mRNA metabolic process,RNA splicing,0.45299999999999996,0.40691304347826085,0.5
brown,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",7.963841830810059e-13,1.575357636501815e-9,BP,brown,1,GO:0008380,8.802620837475862,337,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",RNA splicing,0.42376,0.3750434782608696,0.957
brown,GO:0000398,"mRNA splicing, via spliceosome",7.963841830810059e-13,1.575357636501815e-9,BP,brown,1,GO:0008380,8.802620837475862,337,"mRNA splicing, via spliceosome",RNA splicing,0.38427999999999995,0.33213043478260873,0.957
brown,GO:0000375,"RNA splicing, via transesterification reactions",1.0076108799516216e-12,1.9103116859318096e-9,BP,brown,1,GO:0008380,8.718895767602149,341,"RNA splicing, via transesterification reactions",RNA splicing,0.42252,0.3736956521739131,0.96
brown,GO:0090304,nucleic acid metabolic process,3.3228298418328393e-12,5.099752657251068e-9,BP,brown,1,GO:0008380,8.292450887077736,5683,nucleic acid metabolic process,RNA splicing,0.41059999999999997,0.36117391304347823,0.577
brown,GO:0016070,RNA metabolic process,4.244152097583138e-12,6.3412129452697465e-9,BP,brown,1,GO:0008380,8.197827662456822,5123,RNA metabolic process,RNA splicing,0.39292000000000005,0.3419130434782609,0.627
brown,GO:0006139,nucleobase-containing compound metabolic process,4.167095065487575e-10,3.6724153036119215e-7,BP,brown,1,GO:0008380,6.4350482114936325,6241,nucleobase-containing compound metabolic process,RNA splicing,0.4222,0.37378260869565216,0.555
brown,GO:0046483,heterocycle metabolic process,2.6388159017279606e-9,2.0671640819057123e-6,BP,brown,1,GO:0008380,5.684625049721034,6421,heterocycle metabolic process,RNA splicing,0.47368,0.4297391304347826,0.548
brown,GO:0006725,cellular aromatic compound metabolic process,4.470376744287964e-9,3.339608269135124e-6,BP,brown,1,GO:0008380,5.476304472269396,6468,cellular aromatic compound metabolic process,RNA splicing,0.47519999999999996,0.43139130434782613,0.546
brown,GO:0043484,regulation of RNA splicing,1.5760221387372305e-8,1.0306271151319032e-5,BP,brown,1,GO:0008380,4.986898435718092,186,regulation of RNA splicing,RNA splicing,0.4656,0.4204347826086957,0.866
brown,GO:1901360,organic cyclic compound metabolic process,2.4649226329074306e-8,1.575385822125341e-5,BP,brown,1,GO:0008380,4.80261306733467,6720,organic cyclic compound metabolic process,RNA splicing,0.49532,0.45143478260869563,0.535
brown,GO:0034641,cellular nitrogen compound metabolic process,1.9236878120084585e-7,9.394008815307972e-5,BP,brown,1,GO:0008380,4.027149036612019,6887,cellular nitrogen compound metabolic process,RNA splicing,0.48892,0.44634782608695656,0.527
brown,GO:0051252,regulation of RNA metabolic process,3.4477560575368753e-6,0.0011821401886639733,BP,brown,1,GO:0008380,2.927331017910759,3847,regulation of RNA metabolic process,RNA splicing,0.40188,0.3516086956521739,0.596
brown,GO:0000245,spliceosomal complex assembly,1.1437643831658494e-5,0.0033448247864325082,BP,brown,1,GO:0008380,2.475626627157301,96,spliceosomal complex assembly,RNA splicing,0.4636,0.44065217391304345,0.807
brown,GO:0070192,chromosome organization involved in meiotic cell cycle,1.5957969870361306e-5,0.004461310511093202,BP,brown,2,GO:0070192,2.3505375484326074,65,chromosome organization involved in meiotic cell cycle,chromosome organization involved in meiotic cell cycle,0.94164,0.599,0
