childTerm,parentTerm,FDR,frequencyParent
defense response,defense response,8.361734616886914e-15,46
immune response,immune response,5.782411906403696e-14,36
immune effector process,immune response,2.298655201525599e-13,36
response to external stimulus,defense response,6.556063598347072e-13,46
leukocyte migration,leukocyte migration,1.3151873877826666e-12,17
immune system process,immune response,2.9643809856297132e-12,36
positive regulation of immune system process,immune response,2.2647180100457054e-11,36
inflammatory response,defense response,3.962308435956327e-11,46
cell activation,cell activation,1.426863329018719e-10,42
cell adhesion,cell adhesion,1.426863329018719e-10,15
regulation of immune system process,immune response,1.426863329018719e-10,36
biological process involved in interspecies interaction between organisms,biological process involved in interspecies interaction between organisms,1.7724823496590339e-10,4
response to biotic stimulus,defense response,3.078424548084554e-10,46
leukocyte mediated immunity,immune response,3.2777001389838667e-10,36
regulation of immune effector process,immune response,6.558901498530033e-10,36
regulation of leukocyte migration,leukocyte migration,7.145866764111571e-10,17
positive regulation of response to external stimulus,defense response,9.190678472917835e-10,46
response to other organism,defense response,9.46349229829568e-10,46
response to external biotic stimulus,defense response,9.85391661191163e-10,46
positive regulation of response to stimulus,defense response,2.5289635136416573e-9,46
regulation of response to stimulus,defense response,3.015472327321846e-9,46
leukocyte activation,cell activation,3.127944230022949e-9,42
defense response to other organism,defense response,4.448792336811482e-9,46
cell surface receptor signaling pathway,cell surface receptor signaling pathway,5.907430564649654e-9,15
cell migration,leukocyte migration,8.621284042101997e-9,17
cell chemotaxis,cell chemotaxis,2.07338887720154e-8,18
response to stimulus,defense response,2.2606587695316882e-8,46
cell motility,leukocyte migration,2.6613742667819265e-8,17
innate immune response,defense response,3.217740115995447e-8,46
positive regulation of immune response,immune response,3.46048149314311e-8,36
response to stress,defense response,3.7206442780577824e-8,46
leukocyte chemotaxis,cell chemotaxis,3.8659747826193256e-8,18
myeloid leukocyte migration,leukocyte migration,3.8659747826193256e-8,17
regulation of immune response,immune response,4.1114716241128055e-8,36
regulation of response to external stimulus,defense response,5.316431651456509e-8,46
multicellular organismal process,cell activation,6.478790712017901e-8,42
chemotaxis,cell chemotaxis,6.681794729831389e-8,18
taxis,cell chemotaxis,6.681794729831389e-8,18
defense response to symbiont,defense response,7.487803130427439e-8,46
cell activation involved in immune response,cell activation,1.0189536505640109e-7,42
positive regulation of leukocyte migration,leukocyte migration,1.037010782238976e-7,17
signal transduction,cell surface receptor signaling pathway,1.2401284826566536e-7,15
regulation of leukocyte mediated immunity,immune response,1.241779372705981e-7,36
myeloid leukocyte activation,cell activation,2.5629706908382725e-7,42
signaling,cell surface receptor signaling pathway,3.096637809296574e-7,15
response to chemical,defense response,3.29851219321747e-7,46
cell communication,cell communication,3.441208038245522e-7,15
granulocyte migration,leukocyte migration,3.771696608840228e-7,17
leukocyte activation involved in immune response,cell activation,4.436995911103309e-7,42
leukocyte degranulation,leukocyte degranulation,1.0008879356259783e-6,18
