module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
green,GO:0006952,defense response,1.4083857782975167e-18,8.361734616886914e-15,BP,green,1,GO:0006952,14.077703620120996,1868,defense response,defense response,0.8921601208459214,0.5368043478260869,0
green,GO:0006955,immune response,1.0252048945354717e-17,5.782411906403695e-14,BP,green,2,GO:0006955,13.23789097487454,2046,immune response,immune response,0.7314743202416918,0.38069444444444445,0
green,GO:0002252,immune effector process,4.3811078261424915e-17,2.298655201525599e-13,BP,green,2,GO:0006955,12.638526168054362,711,immune effector process,immune response,0.7883051359516616,0.3439444444444444,0.664
green,GO:0009605,response to external stimulus,1.3076674878135643e-16,6.556063598347072e-13,BP,green,1,GO:0006952,12.183356842124537,2795,response to external stimulus,defense response,0.8778670694864048,0.5835217391304348,0.326
green,GO:0050900,leukocyte migration,2.856441735798531e-16,1.3151873877826666e-12,BP,green,3,GO:0050900,11.881012364526239,396,leukocyte migration,leukocyte migration,0.7791933534743203,0.19382352941176473,0
green,GO:0002376,immune system process,6.83249019337552e-16,2.9643809856297132e-12,BP,green,2,GO:0006955,11.528065981082836,2844,immune system process,immune response,0.7838640483383685,0.39888888888888885,0.858
green,GO:0002684,positive regulation of immune system process,6.4244471717975776e-15,2.2647180100457054e-11,BP,green,2,GO:0006955,10.644985866192084,1098,positive regulation of immune system process,immune response,0.6989456193353474,0.33577777777777773,0.719
green,GO:0006954,inflammatory response,1.211822534821092e-14,3.962308435956327e-11,BP,green,1,GO:0006952,10.402051720917578,893,inflammatory response,defense response,0.9024169184290031,0.5748695652173913,0.835
green,GO:0001775,cell activation,4.7542750421531184e-14,1.426863329018719e-10,BP,green,4,GO:0001775,9.845617623448474,1113,cell activation,cell activation,0.83670694864048345,0.33126190476190476,0
green,GO:0007155,cell adhesion,4.859680389298576e-14,1.426863329018719e-10,BP,green,5,GO:0007155,9.845617623448474,1533,cell adhesion,cell adhesion,0.9447824773413898,0.2532,0
green,GO:0002682,regulation of immune system process,4.8698407133744677e-14,1.426863329018719e-10,BP,green,2,GO:0006955,9.845617623448474,1569,regulation of immune system process,immune response,0.7212265861027191,0.32952777777777775,0.761
green,GO:0044419,biological process involved in interspecies interaction between organisms,6.326344701130434e-14,1.7724823496590339e-10,BP,green,6,GO:0044419,9.751418080818437,1754,biological process involved in interspecies interaction between organisms,biological process involved in interspecies interaction between organisms,0.9707552870090634,0.42375000000000007,0
green,GO:0009607,response to biotic stimulus,1.1871057829145703e-13,3.078424548084554e-10,BP,green,1,GO:0006952,9.511671486461681,1621,response to biotic stimulus,defense response,0.8939093655589124,0.5746739130434783,0.302
