module,GO_ID,term.x,pValue,FDR,ontology,sort(module),cluster,parent,score,size,term.y,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
pink,GO:1903047,mitotic cell cycle process,1.4167911092880894e-28,5.327370702774764e-24,BP,pink,1,GO:1903047,23.273487081970938,761,mitotic cell cycle process,mitotic cell cycle process,0.5081914893617021,0.2786142857142857,0
pink,GO:0000278,mitotic cell cycle,1.2498209393086244e-26,3.5246512764677343e-22,BP,pink,1,GO:1903047,21.45288384496977,911,mitotic cell cycle,mitotic cell cycle process,0.530709219858156,0.31089999999999995,0.969
pink,GO:0022402,cell cycle process,1.525183860344611e-25,3.8232970081371966e-21,BP,pink,1,GO:1903047,20.417561963036487,1294,cell cycle process,mitotic cell cycle process,0.5115744680851064,0.2858857142857143,0.898
pink,GO:0010564,regulation of cell cycle process,2.7585587195272474e-22,3.6298664842744034e-18,BP,pink,1,GO:1903047,17.440109349126224,746,regulation of cell cycle process,mitotic cell cycle process,0.4876879432624114,0.24280000000000002,0.82
pink,GO:0051276,chromosome organization,2.8960416965976355e-22,3.6298664842744034e-18,BP,pink,2,GO:0051276,17.440109349126224,635,chromosome organization,chromosome organization,0.7281702127659575,0.40491999999999995,0
pink,GO:0007049,cell cycle,9.691277568010579e-22,1.150762701115193e-17,BP,pink,1,GO:1903047,16.939014223043763,1816,cell cycle,mitotic cell cycle process,0.5358794326241134,0.3206428571428571,0.85
pink,GO:0000280,nuclear division,1.4030940996954705e-21,1.5827602991614754e-17,BP,pink,2,GO:0051276,16.80058485180463,446,nuclear division,chromosome organization,0.7429574468085106,0.44136,0.554
pink,GO:0098813,nuclear chromosome segregation,7.535534540657567e-21,7.391704120511972e-17,BP,pink,1,GO:1903047,16.13125542563545,317,nuclear chromosome segregation,mitotic cell cycle process,0.5148226950354611,0.2764714285714286,0.762
pink,GO:0051726,regulation of cell cycle,2.2999714514256404e-20,2.0755862366245549e-16,BP,pink,1,GO:1903047,15.682859217808401,1116,regulation of cell cycle,mitotic cell cycle process,0.5100070921985815,0.2757428571428572,0.78
pink,GO:0007059,chromosome segregation,2.4546246718328196e-20,2.1299533546623167e-16,BP,pink,1,GO:1903047,15.67162990737562,423,chromosome segregation,mitotic cell cycle process,0.5112553191489362,0.27221428571428574,0.785
pink,GO:0000819,sister chromatid segregation,3.517945773229267e-20,2.8345848067794815e-16,BP,pink,1,GO:1903047,15.54751054500027,229,sister chromatid segregation,mitotic cell cycle process,0.4291134751773049,0.2835,0.733
pink,GO:0000070,mitotic sister chromatid segregation,3.67018084653345e-20,2.855274140642799e-16,BP,pink,1,GO:1903047,15.544352187925046,188,mitotic sister chromatid segregation,mitotic cell cycle process,0.3966170212765957,0.2606428571428572,0.864
pink,GO:0051301,cell division,4.2347883359858254e-20,3.1847019882725403e-16,BP,pink,3,GO:0051301,15.496931200975137,643,cell division,cell division,0.933,0.277,0
pink,GO:0048285,organelle fission,5.784226289159073e-20,4.2096106228941244e-16,BP,pink,2,GO:0051276,15.375758073320878,493,organelle fission,chromosome organization,0.7432836879432624,0.43996,0.56
pink,GO:0140014,mitotic nuclear division,1.45367905152916e-19,9.938319115621024e-16,BP,pink,2,GO:0051276,15.002687062337092,277,mitotic nuclear division,chromosome organization,0.4437517730496454,0.45984,0.525
pink,GO:0044770,cell cycle phase transition,1.7438748899092323e-17,9.595990583229802e-14,BP,pink,1,GO:1903047,13.01791018688734,555,cell cycle phase transition,mitotic cell cycle process,0.514950354609929,0.26680000000000004,0.792
pink,GO:0044772,mitotic cell cycle phase transition,2.649473396347919e-16,1.2718036020213915e-12,BP,pink,1,GO:1903047,11.895579949335266,451,mitotic cell cycle phase transition,mitotic cell cycle process,0.5008085106382979,0.24901428571428574,0.924
pink,GO:0051983,regulation of chromosome segregation,2.3301177602789693e-15,8.910133354178615e-12,BP,pink,1,GO:1903047,11.050115796013573,131,regulation of chromosome segregation,mitotic cell cycle process,0.5010496453900709,0.24597142857142862,0.688
pink,GO:1901987,regulation of cell cycle phase transition,6.021432442251226e-15,2.1563418623750782e-11,BP,pink,1,GO:1903047,10.66628238579817,455,regulation of cell cycle phase transition,mitotic cell cycle process,0.4863120567375887,0.22684285714285712,0.772
pink,GO:0007346,regulation of mitotic cell cycle,1.1280654775968008e-14,3.742689005891386e-11,BP,pink,1,GO:1903047,10.426816258548566,522,regulation of mitotic cell cycle,mitotic cell cycle process,0.5124113475177305,0.28001428571428577,0.893
pink,GO:0007088,regulation of mitotic nuclear division,3.094726119035971e-14,9.697238329384797e-11,BP,pink,2,GO:0051276,10.013351930587149,118,regulation of mitotic nuclear division,chromosome organization,0.4385815602836879,0.43116,0.474
pink,GO:0090068,positive regulation of cell cycle process,5.6205146889153794e-14,1.62569784482846e-10,BP,pink,1,GO:1903047,9.78896017000746,263,positive regulation of cell cycle process,mitotic cell cycle process,0.5276028368794325,0.29938571428571426,0.724
