childTerm,parentTerm,FDR,frequencyParent
multicellular organismal process,multicellular organismal process,7.240497551014954e-13,23
response to stimulus,response to stimulus,3.8367657665827074e-12,46
cell adhesion,cell adhesion,1.0446708431183512e-11,6
external encapsulating structure organization,external encapsulating structure organization,5.786328581207996e-10,6
extracellular matrix organization,external encapsulating structure organization,1.568660131799086e-9,6
extracellular structure organization,external encapsulating structure organization,1.568660131799086e-9,6
immune response,immune response,3.237650885015383e-9,8
cell migration,cell migration,5.0335236294967e-9,3
anatomical structure development,anatomical structure development,5.8088279318950734e-9,43
anatomical structure morphogenesis,anatomical structure development,7.2984432515687225e-9,43
regulation of multicellular organismal process,multicellular organismal process,7.758488769360593e-9,23
immune system process,immune response,2.0375324348362204e-8,8
defense response,response to stimulus,2.1535707178219128e-8,46
cell surface receptor signaling pathway,cell surface receptor signaling pathway,2.8089053900432185e-8,8
developmental process,anatomical structure development,3.7379885710585026e-8,43
response to external stimulus,response to stimulus,4.1114716241128055e-8,46
locomotion,locomotion,4.6503446198571376e-8,7
cell motility,cell migration,1.2604263488300446e-7,3
response to wounding,response to stimulus,1.7774387951695045e-7,46
wound healing,response to stimulus,1.7774387951695045e-7,46
signal transduction,cell surface receptor signaling pathway,4.057912269347062e-7,8
tissue development,anatomical structure development,5.861983818147701e-7,43
positive regulation of multicellular organismal process,multicellular organismal process,7.860683031283936e-7,23
anatomical structure formation involved in morphogenesis,anatomical structure development,1.37933339489643e-6,43
ossification,multicellular organismal process,1.4107873584470985e-6,23
multicellular organism development,anatomical structure development,3.2895894362420223e-6,43
response to chemical,response to stimulus,3.2895894362420223e-6,46
signaling,cell surface receptor signaling pathway,4.301739899465673e-6,8
cellular response to stimulus,response to stimulus,5.143057065675696e-6,46
regulation of cell migration,locomotion,6.063447398579735e-6,7
cell communication,cell communication,7.651008118831172e-6,10
cell activation,multicellular organismal process,8.232296002052442e-6,23
response to other organism,response to stimulus,9.283014571235752e-6,46
skeletal system development,anatomical structure development,9.666677081391176e-6,43
response to external biotic stimulus,response to stimulus,9.938814809381628e-6,46
inflammatory response,response to stimulus,1.1097699985135845e-5,46
system development,anatomical structure development,1.6005576886426843e-5,43
negative regulation of wound healing,response to stimulus,1.7907232252620845e-5,46
collagen fibril organization,external encapsulating structure organization,1.9448104411091244e-5,6
regulation of multicellular organismal development,anatomical structure development,1.967610244776461e-5,43
regulation of cell motility,locomotion,2.306461238076565e-5,7
regulation of locomotion,locomotion,2.365787126825595e-5,7
response to biotic stimulus,response to stimulus,3.7046947736153496e-5,46
osteoblast differentiation,multicellular organismal process,4.149037575289984e-5,23
regulation of cell adhesion,cell adhesion,4.296991945492014e-5,6
response to organic substance,response to stimulus,6.004896091687212e-5,46
animal organ development,anatomical structure development,6.342154852336237e-5,43
response to endogenous stimulus,response to stimulus,6.428907060807368e-5,46
negative regulation of response to wounding,response to stimulus,6.562351574047862e-5,46
collagen metabolic process,collagen metabolic process,8.727009211199636e-5,15
positive regulation of cytokine production,collagen metabolic process,1.5355185143707892e-4,15
circulatory system development,anatomical structure development,1.6049446940964555e-4,43
negative regulation of multicellular organismal process,multicellular organismal process,1.719516216964501e-4,23
