Gene Set,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,nGenes
FOCAL_ADHESION,KEGG_FOCAL_ADHESION,'38/274,'141/2602,1.2417679366376249e-8,1.8874872636891898e-6,1.738475111292675e-6,ENSG00000115414/ENSG00000196924/ENSG00000130635/ENSG00000108821/ENSG00000160293/ENSG00000137809/ENSG00000162909/ENSG00000186340/ENSG00000168542/ENSG00000164692/ENSG00000197565/ENSG00000137801/ENSG00000041982/ENSG00000141506/ENSG00000136068/ENSG00000053747/ENSG00000171914/ENSG00000101335/ENSG00000075624/ENSG00000072110/ENSG00000169231/ENSG00000115221/ENSG00000035403/ENSG00000197122/ENSG00000166501/ENSG00000058085/ENSG00000010810/ENSG00000105974/ENSG00000118971/ENSG00000197702/ENSG00000164171/ENSG00000105851/ENSG00000060718/ENSG00000145431/ENSG00000109072/ENSG00000168477/ENSG00000128591/ENSG00000197461,38
ECM_RECEPTOR_INTERACTION,KEGG_ECM_RECEPTOR_INTERACTION,'21/274,'59/2602,1.7980945439053134e-7,1.3665518533680382e-5,1.2586661807337195e-5,ENSG00000115414/ENSG00000142798/ENSG00000130635/ENSG00000108821/ENSG00000137809/ENSG00000186340/ENSG00000168542/ENSG00000164692/ENSG00000197565/ENSG00000137801/ENSG00000041982/ENSG00000053747/ENSG00000169231/ENSG00000115221/ENSG00000058085/ENSG00000188157/ENSG00000169439/ENSG00000164171/ENSG00000060718/ENSG00000109072/ENSG00000168477,21
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,'16/274,'65/2602,7.990097089681501e-4,0.0404831585877196,0.03728711975184701,ENSG00000120899/ENSG00000160293/ENSG00000162747/ENSG00000141506/ENSG00000121858/ENSG00000117091/ENSG00000005844/ENSG00000166501/ENSG00000138814/ENSG00000010810/ENSG00000159110/ENSG00000158869/ENSG00000105851/ENSG00000203747/ENSG00000026103/ENSG00000173530,16
COMPLEMENT_AND_COAGULATION_CASCADES,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,'11/274,'41/2602,0.002536135888056849,0.09637316374616027,0.08876475608198973,ENSG00000197249/ENSG00000011422/ENSG00000181104/ENSG00000159403/ENSG00000149131/ENSG00000182326/ENSG00000125730/ENSG00000197405/ENSG00000203710/ENSG00000127241/ENSG00000197766,11
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,'16/274,'76/2602,0.00455432353082104,0.1384514353369596,0.12752105886298912,ENSG00000120899/ENSG00000160293/ENSG00000164007/ENSG00000141506/ENSG00000101335/ENSG00000075624/ENSG00000100985/ENSG00000072110/ENSG00000087245/ENSG00000005844/ENSG00000035403/ENSG00000166501/ENSG00000147065/ENSG00000105851/ENSG00000162692/ENSG00000185386,16
CALCIUM_SIGNALING_PATHWAY,KEGG_CALCIUM_SIGNALING_PATHWAY,'17/274,'85/2602,0.006062682158029204,0.1535879480034065,0.1414625836873481,ENSG00000120899/ENSG00000181104/ENSG00000145349/ENSG00000184984/ENSG00000109743/ENSG00000161714/ENSG00000142875/ENSG00000166501/ENSG00000138814/ENSG00000074370/ENSG00000058668/ENSG00000108405/ENSG00000183023/ENSG00000096433/ENSG00000170425/ENSG00000067177/ENSG00000089041,17
CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,'21/274,'116/2602,0.008060330056549934,0.17502430979937,0.16120660113099872,ENSG00000115590/ENSG00000173578/ENSG00000100385/ENSG00000180871/ENSG00000169429/ENSG00000121858/ENSG00000121989/ENSG00000168685/ENSG00000101017/ENSG00000161921/ENSG00000159110/ENSG00000177663/ENSG00000163513/ENSG00000102524/ENSG00000134352/ENSG00000147168/ENSG00000145431/ENSG00000119699/ENSG00000197461/ENSG00000026103/ENSG00000173530,21
LEISHMANIA_INFECTION,KEGG_LEISHMANIA_INFECTION,'10/274,'42/2602,0.009807523690849822,0.18634295012614663,0.17163166458987192,ENSG00000162747/ENSG00000162434/ENSG00000137462/ENSG00000115415/ENSG00000166501/ENSG00000125730/ENSG00000203710/ENSG00000119699/ENSG00000203747/ENSG00000185386,10
VASCULAR_SMOOTH_MUSCLE_CONTRACTION,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,'14/274,'71/2602,0.013936696267175346,0.23537531473451698,0.21679305304494983,ENSG00000163017/ENSG00000101335/ENSG00000107796/ENSG00000133392/ENSG00000072952/ENSG00000142875/ENSG00000166501/ENSG00000132329/ENSG00000156113/ENSG00000135643/ENSG00000096433/ENSG00000064989/ENSG00000170425/ENSG00000163932,14
DILATED_CARDIOMYOPATHY,KEGG_DILATED_CARDIOMYOPATHY,'10/274,'48/2602,0.024737855086615232,0.3525742287540566,0.3247394212208416,ENSG00000140416/ENSG00000137809/ENSG00000198467/ENSG00000075624/ENSG00000175084/ENSG00000142875/ENSG00000115221/ENSG00000164171/ENSG00000183023/ENSG00000119699,10
