Gene Set,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,nGenes
EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,'58/347,'176/2655,1.0302617647630855e-12,5.151308823815427e-11,4.121047059052342e-11,ENSG00000135919/ENSG00000115414/ENSG00000113083/ENSG00000139278/ENSG00000111799/ENSG00000042493/ENSG00000140416/ENSG00000196924/ENSG00000100234/ENSG00000130635/ENSG00000115935/ENSG00000104332/ENSG00000108821/ENSG00000113657/ENSG00000102265/ENSG00000186340/ENSG00000164176/ENSG00000168542/ENSG00000198467/ENSG00000180447/ENSG00000164692/ENSG00000137801/ENSG00000184347/ENSG00000041982/ENSG00000169429/ENSG00000011422/ENSG00000124225/ENSG00000132561/ENSG00000084636/ENSG00000026025/ENSG00000120708/ENSG00000139329/ENSG00000053747/ENSG00000011465/ENSG00000149591/ENSG00000101335/ENSG00000107796/ENSG00000116717/ENSG00000164932/ENSG00000152952/ENSG00000087245/ENSG00000114270/ENSG00000166147/ENSG00000058085/ENSG00000146674/ENSG00000171812/ENSG00000164171/ENSG00000129038/ENSG00000166825/ENSG00000164949/ENSG00000107984/ENSG00000006016/ENSG00000060718/ENSG00000073008/ENSG00000026103/ENSG00000162692/ENSG00000008517/ENSG00000152377,58
APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,'32/347,'131/2655,2.0855726490864756e-4,0.005213931622716189,0.004171145298172952,ENSG00000160293/ENSG00000164007/ENSG00000163017/ENSG00000084636/ENSG00000064666/ENSG00000120708/ENSG00000053747/ENSG00000101335/ENSG00000075624/ENSG00000100985/ENSG00000072110/ENSG00000169231/ENSG00000087245/ENSG00000035403/ENSG00000197122/ENSG00000050405/ENSG00000065618/ENSG00000166147/ENSG00000058085/ENSG00000139211/ENSG00000197702/ENSG00000147065/ENSG00000164171/ENSG00000196405/ENSG00000204381/ENSG00000128591/ENSG00000134762/ENSG00000162692/ENSG00000090659/ENSG00000185386/ENSG00000162706/ENSG00000169047,32
INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,'32/347,'141/2655,8.561052032684172e-4,0.01426842005447362,0.011414736043578896,ENSG00000221963/ENSG00000100385/ENSG00000166710/ENSG00000183486/ENSG00000133106/ENSG00000067057/ENSG00000059378/ENSG00000121858/ENSG00000157601/ENSG00000111331/ENSG00000159403/ENSG00000115415/ENSG00000149131/ENSG00000188313/ENSG00000101017/ENSG00000105835/ENSG00000145416/ENSG00000182326/ENSG00000115525/ENSG00000159110/ENSG00000119917/ENSG00000185745/ENSG00000134326/ENSG00000106785/ENSG00000111335/ENSG00000127951/ENSG00000184979/ENSG00000134321/ENSG00000138642/ENSG00000026103/ENSG00000162692/ENSG00000140968,32
COAGULATION,HALLMARK_COAGULATION,'21/347,'83/2655,0.0016323470682569903,0.01791291282913238,0.014330330263305905,ENSG00000115414/ENSG00000100234/ENSG00000162909/ENSG00000102265/ENSG00000197249/ENSG00000111144/ENSG00000010278/ENSG00000137801/ENSG00000150687/ENSG00000100985/ENSG00000159403/ENSG00000149131/ENSG00000087245/ENSG00000182326/ENSG00000166147/ENSG00000010810/ENSG00000125730/ENSG00000143387/ENSG00000120885/ENSG00000164171/ENSG00000197766,21
ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,'25/347,'106/2655,0.001791291282913238,0.01791291282913238,0.014330330263305905,ENSG00000042493/ENSG00000196924/ENSG00000187210/ENSG00000100385/ENSG00000000938/ENSG00000102265/ENSG00000166710/ENSG00000162711/ENSG00000181104/ENSG00000140030/ENSG00000137462/ENSG00000060982/ENSG00000100985/ENSG00000104998/ENSG00000121989/ENSG00000122862/ENSG00000115415/ENSG00000005844/ENSG00000101017/ENSG00000166501/ENSG00000159110/ENSG00000118971/ENSG00000147168/ENSG00000026103/ENSG00000140968,25
ANGIOGENESIS,HALLMARK_ANGIOGENESIS,'10/347,'29/2655,0.002556511848848584,0.021304265407071536,0.017043412325657228,ENSG00000186652/ENSG00000160293/ENSG00000196154/ENSG00000102265/ENSG00000168542/ENSG00000139329/ENSG00000077782/ENSG00000118971/ENSG00000109072/ENSG00000197461,10
COMPLEMENT,HALLMARK_COMPLEMENT,'29/347,'136/2655,0.004065864054905261,0.029041886106466148,0.02323350888517292,ENSG00000115414/ENSG00000146070/ENSG00000102265/ENSG00000197249/ENSG00000111144/ENSG00000085265/ENSG00000131981/ENSG00000011422/ENSG00000141506/ENSG00000163221/ENSG00000135905/ENSG00000159403/ENSG00000149131/ENSG00000188313/ENSG00000137509/ENSG00000197122/ENSG00000065833/ENSG00000182326/ENSG00000010810/ENSG00000125730/ENSG00000120885/ENSG00000158869/ENSG00000115271/ENSG00000105851/ENSG00000203710/ENSG00000140945/ENSG00000111252/ENSG00000176749/ENSG00000163932,29
INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,'28/347,'139/2655,0.010659529539506473,0.06662205962191546,0.05329764769753237,ENSG00000103569/ENSG00000100385/ENSG00000102265/ENSG00000169429/ENSG00000167207/ENSG00000011422/ENSG00000188404/ENSG00000162711/ENSG00000103313/ENSG00000141506/ENSG00000121858/ENSG00000187764/ENSG00000137462/ENSG00000132334/ENSG00000121989/ENSG00000168685/ENSG00000175040/ENSG00000117091/ENSG00000101017/ENSG00000105835/ENSG00000078401/ENSG00000197405/ENSG00000038945/ENSG00000073008/ENSG00000064989/ENSG00000085117/ENSG00000170425/ENSG00000089041,28
MYOGENESIS,HALLMARK_MYOGENESIS,'23/347,'119/2655,0.031172452254061248,0.1589202110806887,0.12713616886455098,ENSG00000197321/ENSG00000108821/ENSG00000168542/ENSG00000198467/ENSG00000151726/ENSG00000130592/ENSG00000149591/ENSG00000139687/ENSG00000166165/ENSG00000133392/ENSG00000175084/ENSG00000163453/ENSG00000124212/ENSG00000106624/ENSG00000188157/ENSG00000183963/ENSG00000196923/ENSG00000119938/ENSG00000146674/ENSG00000120885/ENSG00000166833/ENSG00000140945/ENSG00000197766,23
HEME_METABOLISM,HALLMARK_HEME_METABOLISM,'25/347,'132/2655,0.031784042216137745,0.1589202110806887,0.12713616886455098,ENSG00000147454/ENSG00000166947/ENSG00000183508/ENSG00000159023/ENSG00000158856/ENSG00000143797/ENSG00000004939/ENSG00000145335/ENSG00000136732/ENSG00000029534/ENSG00000169877/ENSG00000132819/ENSG00000158578/ENSG00000133069/ENSG00000088826/ENSG00000143416/ENSG00000168785/ENSG00000125730/ENSG00000047597/ENSG00000133742/ENSG00000072682/ENSG00000184792/ENSG00000140743/ENSG00000007968/ENSG00000165406,25
