Gene Set,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,nGenes
INOSITOL_PHOSPHATE_METABOLISM,KEGG_INOSITOL_PHOSPHATE_METABOLISM,'4/48,'37/2602,0.004308161572456661,0.16690619840831442,0.16084363078636674,ENSG00000122126/ENSG00000151151/ENSG00000078269/ENSG00000150867,4
CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,'7/48,'116/2602,0.004701583053755336,0.16690619840831442,0.16084363078636674,ENSG00000122641/ENSG00000196083/ENSG00000102755/ENSG00000172215/ENSG00000174697/ENSG00000146648/ENSG00000151882,7
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,'4/48,'51/2602,0.013498066844569822,0.2852508831011638,0.2748896575474522,ENSG00000198668/ENSG00000122126/ENSG00000078269/ENSG00000150867,4
CIRCADIAN_RHYTHM_MAMMAL,KEGG_CIRCADIAN_RHYTHM_MAMMAL,'2/48,'12/2602,0.019551985499241753,0.2852508831011638,0.2748896575474522,ENSG00000213923/ENSG00000134107,2
BLADDER_CANCER,KEGG_BLADDER_CANCER,'3/48,'32/2602,0.02008809035923689,0.2852508831011638,0.2748896575474522,ENSG00000100784/ENSG00000146648/ENSG00000196730,3
NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,'4/48,'69/2602,0.03669086726813789,0.434175262672965,0.41840462674192325,ENSG00000198668/ENSG00000099942/ENSG00000171791/ENSG00000100784,4
ADHERENS_JUNCTION,KEGG_ADHERENS_JUNCTION,'3/48,'47/2602,0.0542242392619443,0.5499887125140065,0.5300113612069743,ENSG00000143217/ENSG00000070770/ENSG00000146648,3
SPHINGOLIPID_METABOLISM,KEGG_SPHINGOLIPID_METABOLISM,'2/48,'23/2602,0.06594013587648868,0.5852187059038371,0.5639616884173374,ENSG00000177076/ENSG00000143753,2
TAURINE_AND_HYPOTAURINE_METABOLISM,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,'1/48,'5/2602,0.08896177736197652,0.6217304580083839,0.5991472167612298,ENSG00000129596,1
CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,'4/48,'94/2602,0.09289057762334535,0.6217304580083839,0.5991472167612298,ENSG00000254087/ENSG00000099942/ENSG00000172215/ENSG00000151882,4
ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,'2/48,'31/2602,0.11054713288529625,0.6217304580083839,0.5991472167612298,ENSG00000117394/ENSG00000174697,2
N_GLYCAN_BIOSYNTHESIS,KEGG_N_GLYCAN_BIOSYNTHESIS,'2/48,'33/2602,0.12269145141991496,0.6217304580083839,0.5991472167612298,ENSG00000117643/ENSG00000128268,2
ENDOCYTOSIS,KEGG_ENDOCYTOSIS,'4/48,'107/2602,0.13251283520761714,0.6217304580083839,0.5991472167612298,ENSG00000124171/ENSG00000079805/ENSG00000102755/ENSG00000146648,4
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,'3/48,'69/2602,0.13282940430037277,0.6217304580083839,0.5991472167612298,ENSG00000254087/ENSG00000099942/ENSG00000079805,3
LINOLEIC_ACID_METABOLISM,KEGG_LINOLEIC_ACID_METABOLISM,'1/48,'9/2602,0.15450853102186612,0.6217304580083839,0.5991472167612298,ENSG00000134716,1
INSULIN_SIGNALING_PATHWAY,KEGG_INSULIN_SIGNALING_PATHWAY,'3/48,'75/2602,0.15887787992639962,0.6217304580083839,0.5991472167612298,ENSG00000198668/ENSG00000099942/ENSG00000173281,3
RIBOFLAVIN_METABOLISM,KEGG_RIBOFLAVIN_METABOLISM,'1/48,'10/2602,0.1701597421714809,0.6217304580083839,0.5991472167612298,ENSG00000135002,1
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,'2/48,'41/2602,0.17402917812264176,0.6217304580083839,0.5991472167612298,ENSG00000057294/ENSG00000096696,2
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,'2/48,'42/2602,0.18068506952114552,0.6217304580083839,0.5991472167612298,ENSG00000254087/ENSG00000146648,2
GLIOMA,KEGG_GLIOMA,'2/48,'42/2602,0.18068506952114552,0.6217304580083839,0.5991472167612298,ENSG00000198668/ENSG00000146648,2
B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,'2/48,'43/2602,0.18738078466010527,0.6217304580083839,0.5991472167612298,ENSG00000254087/ENSG00000155629,2
WNT_SIGNALING_PATHWAY,KEGG_WNT_SIGNALING_PATHWAY,'3/48,'83/2602,0.19582965666700644,0.6217304580083839,0.5991472167612298,ENSG00000213923/ENSG00000070770/ENSG00000177565,3
CYSTEINE_AND_METHIONINE_METABOLISM,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,'1/48,'13/2602,0.2154306482716667,0.6217304580083839,0.5991472167612298,ENSG00000129596,1
APOPTOSIS,KEGG_APOPTOSIS,'2/48,'48/2602,0.22133369258019975,0.6217304580083839,0.5991472167612298,ENSG00000196083/ENSG00000171791,2
DORSO_VENTRAL_AXIS_FORMATION,KEGG_DORSO_VENTRAL_AXIS_FORMATION,'1/48,'15/2602,0.24425827917722565,0.6217304580083839,0.5991472167612298,ENSG00000146648,1
ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,'1/48,'16/2602,0.2582805453540683,0.6217304580083839,0.5991472167612298,ENSG00000166123,1
OLFACTORY_TRANSDUCTION,KEGG_OLFACTORY_TRANSDUCTION,'1/48,'16/2602,0.2582805453540683,0.6217304580083839,0.5991472167612298,ENSG00000198668,1
FOCAL_ADHESION,KEGG_FOCAL_ADHESION,'4/48,'141/2602,0.26076686550017497,0.6217304580083839,0.5991472167612298,ENSG00000099942/ENSG00000102755/ENSG00000171791/ENSG00000146648,4
ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,'2/48,'54/2602,0.2627030104260777,0.6217304580083839,0.5991472167612298,ENSG00000099942/ENSG00000146648,2
RENAL_CELL_CARCINOMA,KEGG_RENAL_CELL_CARCINOMA,'2/48,'54/2602,0.2627030104260777,0.6217304580083839,0.5991472167612298,ENSG00000099942/ENSG00000117394,2
PROSTATE_CANCER,KEGG_PROSTATE_CANCER,'2/48,'58/2602,0.2903849987170558,0.6402989560714958,0.6170412475114488,ENSG00000171791/ENSG00000146648,2
GNRH_SIGNALING_PATHWAY,KEGG_GNRH_SIGNALING_PATHWAY,'2/48,'59/2602,0.29729624870722104,0.6402989560714958,0.6170412475114488,ENSG00000198668/ENSG00000146648,2
STARCH_AND_SUCROSE_METABOLISM,KEGG_STARCH_AND_SUCROSE_METABOLISM,'1/48,'19/2602,0.2988362949889103,0.6402989560714958,0.6170412475114488,ENSG00000114480,1
UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,'2/48,'61/2602,0.31109268913032584,0.6402989560714958,0.6170412475114488,ENSG00000101871/ENSG00000140367,2
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,'1/48,'21/2602,0.32465862561371617,0.6402989560714958,0.6170412475114488,ENSG00000151882,1
PYRUVATE_METABOLISM,KEGG_PYRUVATE_METABOLISM,'1/48,'21/2602,0.32465862561371617,0.6402989560714958,0.6170412475114488,ENSG00000067225,1
PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,'5/48,'209/2602,0.341203018451516,0.652097794598492,0.628411514438873,ENSG00000099942/ENSG00000117394/ENSG00000171791/ENSG00000146648/ENSG00000196730,5
AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,'1/48,'25/2602,0.37354057267916374,0.652097794598492,0.628411514438873,ENSG00000171791,1
TYPE_II_DIABETES_MELLITUS,KEGG_TYPE_II_DIABETES_MELLITUS,'1/48,'25/2602,0.37354057267916374,0.652097794598492,0.628411514438873,ENSG00000067225,1
HEDGEHOG_SIGNALING_PATHWAY,KEGG_HEDGEHOG_SIGNALING_PATHWAY,'1/48,'26/2602,0.38520919996337,0.652097794598492,0.628411514438873,ENSG00000213923,1
RNA_DEGRADATION,KEGG_RNA_DEGRADATION,'1/48,'26/2602,0.38520919996337,0.652097794598492,0.628411514438873,ENSG00000172795,1
TIGHT_JUNCTION,KEGG_TIGHT_JUNCTION,'2/48,'72/2602,0.38574799117093894,0.652097794598492,0.628411514438873,ENSG00000124171/ENSG00000070770,2
ARACHIDONIC_ACID_METABOLISM,KEGG_ARACHIDONIC_ACID_METABOLISM,'1/48,'27/2602,0.3966649291565991,0.6549583713981055,0.6311681859284931,ENSG00000134716,1
ENDOMETRIAL_CANCER,KEGG_ENDOMETRIAL_CANCER,'1/48,'32/2602,0.450880913333946,0.6827631814788685,0.6579630362657738,ENSG00000146648,1
GLYCOLYSIS_GLUCONEOGENESIS,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,'1/48,'33/2602,0.4611368340187594,0.6827631814788685,0.6579630362657738,ENSG00000067225,1
AXON_GUIDANCE,KEGG_AXON_GUIDANCE,'2/48,'84/2602,0.4632076906112791,0.6827631814788685,0.6579630362657738,ENSG00000168758/ENSG00000182580,2
CALCIUM_SIGNALING_PATHWAY,KEGG_CALCIUM_SIGNALING_PATHWAY,'2/48,'85/2602,0.4694200301839111,0.6827631814788685,0.6579630362657738,ENSG00000198668/ENSG00000146648,2
LONG_TERM_DEPRESSION,KEGG_LONG_TERM_DEPRESSION,'1/48,'34/2602,0.47120512205577736,0.6827631814788685,0.6579630362657738,ENSG00000254087,1
REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,'3/48,'138/2602,0.47283492983784225,0.6827631814788685,0.6579630362657738,ENSG00000099942/ENSG00000146648/ENSG00000150867,3
GLUTATHIONE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM,'1/48,'36/2602,0.4907921853508873,0.6827631814788685,0.6579630362657738,ENSG00000001084,1
NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,'1/48,'36/2602,0.4907921853508873,0.6827631814788685,0.6579630362657738,ENSG00000146648,1
LONG_TERM_POTENTIATION,KEGG_LONG_TERM_POTENTIATION,'1/48,'37/2602,0.5003175069031699,0.6827631814788685,0.6579630362657738,ENSG00000198668,1
COLORECTAL_CANCER,KEGG_COLORECTAL_CANCER,'1/48,'38/2602,0.5096682903997187,0.6827631814788685,0.6579630362657738,ENSG00000171791,1
MAPK_SIGNALING_PATHWAY,KEGG_MAPK_SIGNALING_PATHWAY,'3/48,'157/2602,0.5614987658038626,0.7177960135781393,0.6917233637150343,ENSG00000099942/ENSG00000100784/ENSG00000146648,3
MELANOMA,KEGG_MELANOMA,'1/48,'44/2602,0.5622792510653467,0.7177960135781393,0.6917233637150343,ENSG00000146648,1
CHRONIC_MYELOID_LEUKEMIA,KEGG_CHRONIC_MYELOID_LEUKEMIA,'1/48,'47/2602,0.5864700861655394,0.7177960135781393,0.6917233637150343,ENSG00000099942,1
FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,'1/48,'48/2602,0.5942389456035255,0.7177960135781393,0.6917233637150343,ENSG00000254087,1
PANCREATIC_CANCER,KEGG_PANCREATIC_CANCER,'1/48,'49/2602,0.6018648385600762,0.7177960135781393,0.6917233637150343,ENSG00000146648,1
TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,'1/48,'50/2602,0.6093503410078305,0.7177960135781393,0.6917233637150343,ENSG00000164342,1
GAP_JUNCTION,KEGG_GAP_JUNCTION,'1/48,'51/2602,0.6166979834967112,0.7177960135781393,0.6917233637150343,ENSG00000146648,1
TGF_BETA_SIGNALING_PATHWAY,KEGG_TGF_BETA_SIGNALING_PATHWAY,'1/48,'51/2602,0.6166979834967112,0.7177960135781393,0.6917233637150343,ENSG00000122641,1
SMALL_CELL_LUNG_CANCER,KEGG_SMALL_CELL_LUNG_CANCER,'1/48,'53/2602,0.6309895883715047,0.7225848511996263,0.6963382554184687,ENSG00000171791,1
MELANOGENESIS,KEGG_MELANOGENESIS,'1/48,'57/2602,0.658024961510113,0.7415836867812385,0.7146469924504152,ENSG00000198668,1
OOCYTE_MEIOSIS,KEGG_OOCYTE_MEIOSIS,'1/48,'60/2602,0.6770191102488545,0.751068075432323,0.7237868777331504,ENSG00000198668,1
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,'1/48,'65/2602,0.7064051587399398,0.7716117887774726,0.7435843776209893,ENSG00000087266,1
VASCULAR_SMOOTH_MUSCLE_CONTRACTION,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,'1/48,'71/2602,0.7382266653735725,0.79272391891235106,0.7639296475804718,ENSG00000198668,1
CELL_CYCLE,KEGG_CELL_CYCLE,'1/48,'73/2602,0.7480634164384158,0.79272391891235106,0.7639296475804718,ENSG00000166483,1
JAK_STAT_SIGNALING_PATHWAY,KEGG_JAK_STAT_SIGNALING_PATHWAY,'1/48,'80/2602,0.7797241482653721,0.8141237430417856,0.7845521615673249,ENSG00000174697,1
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,'1/48,'86/2602,0.8037343132151429,0.8227409145724507,0.7928563298326065,ENSG00000174697,1
PURINE_METABOLISM,KEGG_PURINE_METABOLISM,'1/48,'88/2602,0.811153014367205,0.8227409145724507,0.7928563298326065,ENSG00000067225,1
ALZHEIMERS_DISEASE,KEGG_ALZHEIMERS_DISEASE,'1/48,'104/2602,0.8614043331200855,0.8614043331200855,0.830115369203937,ENSG00000198668,1
