gene_id,module,Connectivity.kTotal,Connectivity.kWithin,gene_name,gene_biotype,chromosome,length,entrezgene
ENSG00000101336,green,107.19024334546111,1,HCK,protein_coding,20,49669,3055
ENSG00000120899,turquoise,44.98416130616324,1,PTK2B,protein_coding,8,147905,2185
ENSG00000124693,salmon,316.8126214950194,1,HIST1H3B,protein_coding,6,472,NA
ENSG00000126062,black,754.9103978647948,1,TMEM115,protein_coding,3,4862,11070
ENSG00000131747,pink,32.49538515621716,1,TOP2A,protein_coding,17,29435,7153
ENSG00000143217,purple,103.65662090395423,1,PVRL4,protein_coding,1,18605,NA
ENSG00000165805,brown,757.7085908584618,1,C12orf50,protein_coding,12,53999,160419
ENSG00000196504,greenyellow,273.5893426241721,1,PRPF40A,protein_coding,2,66405,55660
ENSG00000206538,blue,96.31576830643233,1,VGLL3,protein_coding,3,53151,389136
ENSG00000183735,blue,110.79574592231471,0.999089335940769,TBK1,protein_coding,12,50229,29110
ENSG00000188738,brown,710.602276986847,0.9871502373606771,FSIP2,protein_coding,2,94663,401024
ENSG00000144406,brown,748.0691399027202,0.9870678055791893,UNC80,protein_coding,2,227308,285175
ENSG00000162517,black,769.5535978873132,0.9803793588201744,PEF1,protein_coding,1,15035,553115
ENSG00000162924,brown,790.4605726380535,0.9801996577754307,REL,protein_coding,2,50090,5966
ENSG00000126550,brown,748.4666353078896,0.9761156122623238,HTN1,protein_coding,4,8444,3346
ENSG00000133138,brown,792.3091664683427,0.9741615226061554,TBC1D8B,protein_coding,X,73466,54885
ENSG00000143951,brown,742.5285171494688,0.9740259182998802,WDPCP,protein_coding,2,706460,51057
ENSG00000131408,black,753.6352894213735,0.9692109820036241,NR1H2,protein_coding,19,53330,7376
ENSG00000106258,brown,685.4297434534087,0.9671305432832575,CYP3A5,protein_coding,7,31805,1577
ENSG00000129521,turquoise,44.010626484765595,0.9653233200260108,EGLN3,protein_coding,14,538544,112399
ENSG00000104164,brown,766.287289019119,0.9639509012426931,BLOC1S6,protein_coding,15,28877,26258
ENSG00000198162,blue,89.64338628374269,0.9591638045814689,MAN1A2,protein_coding,1,161424,10905
ENSG00000115947,brown,688.6529472295251,0.9587840500205361,ORC4,protein_coding,2,91180,5000
ENSG00000188596,brown,737.734634414254,0.9488864651097149,C12orf55,protein_coding,12,385985,NA
ENSG00000130413,brown,671.1081375341579,0.9475491828237573,STK33,protein_coding,11,202419,65975
ENSG00000111816,brown,690.7927276129215,0.9467393098449565,FRK,protein_coding,6,129610,2444
ENSG00000232774,brown,735.6316956232248,0.9466056351130216,RP11-47I22.3,protein_coding,14,88157,NA
ENSG00000125835,black,748.9201688431652,0.9457522940724282,SNRPB,protein_coding,20,9220,6628
ENSG00000170417,brown,734.2575190453213,0.945465913957063,TMEM182,protein_coding,2,106986,130827
ENSG00000115239,brown,725.8809235463053,0.9445517939049768,GPR75-ASB3,protein_coding,2,327361,100302652
ENSG00000011009,black,787.5926386428038,0.9435878842214894,LYPLA2,protein_coding,1,4570,11313
ENSG00000116685,black,679.9809252528067,0.9429457748051614,KIAA2013,protein_coding,1,6838,90231
ENSG00000197496,turquoise,51.85181105198623,0.9429310578470472,SLC2A10,protein_coding,20,26840,81031
ENSG00000173597,brown,670.8626764243818,0.9388048829494976,SULT1B1,protein_coding,4,66800,27284
ENSG00000148219,brown,686.9143087886829,0.93653434720551,ASTN2,protein_coding,9,989845,23245
ENSG00000155545,blue,95.7784111691088,0.9345357949619157,MIER3,protein_coding,5,52074,166968
ENSG00000117410,black,707.9824379925269,0.9336775215384946,ATP6V0B,protein_coding,1,3809,533
ENSG00000151338,brown,734.5749853714246,0.9328169842115515,MIPOL1,protein_coding,14,354449,145282
ENSG00000105583,black,718.8647531280556,0.9322204332338889,WDR83OS,protein_coding,19,3286,51398
ENSG00000197140,brown,659.1418456059337,0.9264778955762067,ADAM32,protein_coding,8,177922,203102
ENSG00000238208,brown,695.1929771049917,0.9232526314155117,RP11-112N13.1,pseudogene,9,4278,NA
ENSG00000090054,blue,111.48022664840364,0.9176918551200581,SPTLC1,protein_coding,9,83386,10558
ENSG00000205086,brown,733.7429928227886,0.916578798047405,C2orf91,protein_coding,2,18899,NA
ENSG00000136231,blue,92.0254368914812,0.9158261541622769,IGF2BP3,protein_coding,7,160259,10643
ENSG00000175707,black,663.2789451517075,0.9152950399760321,C1orf172,protein_coding,1,10845,NA
ENSG00000182544,black,724.241642882165,0.9149031427664128,MFSD5,protein_coding,12,3155,84975
ENSG00000105568,black,756.3544376662854,0.9148877583771023,PPP2R1A,protein_coding,19,37396,5518
ENSG00000196747,salmon,363.8351811579884,0.9145399633639016,HIST1H2AI,protein_coding,6,531,NA
ENSG00000196331,salmon,178.0356762692024,0.9126318504062992,HIST1H2BO,protein_coding,6,467,NA
ENSG00000174749,brown,649.4416712054791,0.9115175609964647,C4orf32,protein_coding,4,49860,NA
ENSG00000181458,brown,634.3921659546355,0.9115128205571271,TMEM45A,protein_coding,3,84826,55076
ENSG00000107175,black,726.1763515425147,0.9112137700451676,CREB3,protein_coding,9,4670,10488
ENSG00000254087,purple,49.36376760204349,0.9103346135073526,LYN,protein_coding,8,131569,4067
ENSG00000211451,brown,692.6566687149709,0.9082903972899495,GNRHR2,pseudogene,1,6325,114814
ENSG00000156218,brown,720.3669941682035,0.9075179654944328,ADAMTSL3,protein_coding,15,385757,57188
ENSG00000186329,brown,698.1879311822685,0.9067221252086018,TMEM212,protein_coding,3,95367,389177
ENSG00000184825,salmon,323.76090026635904,0.9053960587357708,HIST1H2AH,protein_coding,6,457,NA
ENSG00000166377,brown,682.2751648700341,0.9036533389265743,ATP9B,protein_coding,18,308999,374868
ENSG00000213121,brown,713.9554902769612,0.9023847303720453,AL590867.1,protein_coding,6,116169,NA
ENSG00000186814,brown,736.1175593013772,0.898767384427056,ZSCAN30,protein_coding,18,39165,100101467
ENSG00000127837,black,708.6790179289166,0.897445186675839,AAMP,protein_coding,2,6131,14
ENSG00000168701,black,694.7844880406399,0.8971905639371968,TMEM208,protein_coding,16,2176,29100
ENSG00000150477,brown,707.0728169656169,0.8971331931183482,KIAA1328,protein_coding,18,403067,57536
ENSG00000138138,blue,102.35583526336207,0.8962413006765307,ATAD1,protein_coding,10,89832,84896
ENSG00000256316,salmon,397.95543613883393,0.8952875600820077,HIST1H3F,protein_coding,6,466,NA
ENSG00000176340,black,762.2476231863172,0.8948167573915384,COX8A,protein_coding,11,1937,1351
ENSG00000115234,black,762.8094431478002,0.8946924709266951,SNX17,protein_coding,2,6607,9784
ENSG00000100804,black,715.4835080138675,0.891956805143611,PSMB5,protein_coding,14,18688,5693
ENSG00000053524,brown,713.123068062388,0.890774771009439,MCF2L2,protein_coding,3,250736,23101
ENSG00000184281,black,693.2159198423983,0.8905367498857801,TSSC4,protein_coding,11,3389,10078
ENSG00000173198,brown,681.9906259512491,0.8889339712356705,CYSLTR1,protein_coding,X,56088,10800
ENSG00000010256,black,759.5986128086578,0.888866137144065,UQCRC1,protein_coding,3,11975,7384
ENSG00000183617,black,720.9383069867839,0.8883050369546655,MRPL54,protein_coding,19,5912,116541
ENSG00000055070,black,720.5871329833637,0.887890891923587,SZRD1,protein_coding,1,45571,26099
ENSG00000171302,black,674.7600729980126,0.8878599251683216,CANT1,protein_coding,17,18151,124583
ENSG00000185130,salmon,263.2593578997232,0.8875895720864891,HIST1H2BL,protein_coding,6,453,NA
ENSG00000137207,black,661.5659201151266,0.8874554541852057,YIPF3,protein_coding,6,5164,25844
ENSG00000198668,purple,49.380124050389156,0.8873094848539521,CALM1,protein_coding,14,11760,801
ENSG00000100815,greenyellow,278.31490017697996,0.8843817712101008,TRIP11,protein_coding,14,74906,9321
ENSG00000122484,brown,672.9508808302159,0.8832013691630137,RPAP2,protein_coding,1,103092,79871
ENSG00000149923,black,751.1217083548407,0.8825867199965036,PPP4C,protein_coding,16,9400,5531
ENSG00000198356,black,670.4277900688274,0.8802011078600327,ASNA1,protein_coding,19,11185,NA
ENSG00000273274,brown,630.2666046891765,0.8791409386720226,ZBTB8B,protein_coding,1,31618,728116
ENSG00000115590,turquoise,38.03762954942799,0.8789610204390838,IL1R2,protein_coding,2,36701,7850
ENSG00000215504,brown,597.9629085160711,0.875303991713365,AP000974.1,protein_coding,11,2387,NA
ENSG00000160446,black,710.8695431311339,0.8746821453832102,ZDHHC12,protein_coding,9,3259,84885
ENSG00000164463,blue,99.96435063087915,0.8734936162579493,CREBRF,protein_coding,5,82937,153222
ENSG00000077274,blue,114.44688135920991,0.8722973065557901,CAPN6,protein_coding,X,25421,827
ENSG00000118482,greenyellow,271.5811082382879,0.870097534883017,PHF3,protein_coding,6,143505,23469
ENSG00000175756,black,710.9640337967312,0.867801197319256,AURKAIP1,protein_coding,1,1766,54998
ENSG00000137710,blue,89.34485477406157,0.8672252788552738,RDX,protein_coding,11,121843,5962
ENSG00000173212,brown,711.6415884709504,0.8672119677889761,MAB21L3,protein_coding,1,23486,126868
ENSG00000144161,brown,727.7381802611218,0.8667644456770149,ZC3H8,protein_coding,2,43612,84524
ENSG00000196138,brown,698.5451265095774,0.8661715547162234,AC005831.1,pseudogene,12,1775,NA
ENSG00000205176,brown,771.4049074952522,0.8659282663402798,REXO1L1P,protein_coding,8,7032,254958
ENSG00000009413,brown,756.8278887896352,0.8656516578884813,REV3L,protein_coding,6,184685,5980
ENSG00000259295,brown,675.4428172577947,0.8643656986468858,CSPG4P12,pseudogene,15,22468,728121
ENSG00000112096,brown,618.3966757820712,0.8637791032925186,SOD2,protein_coding,6,93473,6648
ENSG00000213073,brown,627.7503736458799,0.862720601092552,RP11-288H12.3,pseudogene,6,3131,NA
ENSG00000078814,brown,615.1188286207756,0.8626404320983042,MYH7B,protein_coding,20,27035,57644
ENSG00000165813,greenyellow,203.31436038347556,0.8610505186418181,C10orf118,protein_coding,10,53359,NA
ENSG00000164081,black,647.7100747399883,0.8596401118548297,TEX264,protein_coding,3,41631,51368
ENSG00000184840,black,682.6588865080294,0.858975955579841,TMED9,protein_coding,5,3967,54732
ENSG00000197697,salmon,251.58047709171203,0.8576499563002857,HIST1H2BE,protein_coding,6,497,NA
ENSG00000091947,black,646.5068895105715,0.857073294458143,TMEM101,protein_coding,17,12759,84336
ENSG00000197971,turquoise,50.82081783774064,0.8568535642062586,MBP,protein_coding,18,154857,4155
ENSG00000163293,blue,97.1096316747498,0.856555895920245,NIPAL1,protein_coding,4,126030,152519
ENSG00000159720,black,686.3132333396634,0.8561895695446837,ATP6V0D1,protein_coding,16,43224,9114
ENSG00000169891,turquoise,35.966814597213194,0.8558652608002573,REPS2,protein_coding,X,206582,9185
ENSG00000103502,black,704.0637946055614,0.8544885606033965,CDIPT,protein_coding,16,5380,10423
ENSG00000135919,turquoise,37.855522353776124,0.8534127485506774,SERPINE2,protein_coding,2,64208,5270
ENSG00000124635,salmon,225.48596105993283,0.8517124468639216,HIST1H2BJ,protein_coding,6,6866,NA
ENSG00000100196,turquoise,43.58199253743225,0.8505436242867073,KDELR3,protein_coding,22,15386,11015
ENSG00000257966,brown,642.8413050651803,0.8499313473700258,OLA1P3,pseudogene,12,2555,101060020
ENSG00000242372,black,692.6325071761177,0.8494270431176972,EIF6,protein_coding,20,6075,3692
ENSG00000197459,salmon,212.61737713064514,0.8483210029077304,HIST1H2BH,protein_coding,6,425,NA
ENSG00000221944,brown,630.0432921576142,0.8472400129885479,TIGD1,protein_coding,2,2448,200765
ENSG00000184357,salmon,178.20563622531708,0.8470165186091527,HIST1H1B,protein_coding,6,790,NA
ENSG00000105669,black,708.6584189321741,0.8442122223091736,COPE,protein_coding,19,19884,11316
ENSG00000012232,turquoise,45.090778789840414,0.8440772046809761,EXTL3,protein_coding,8,155131,2137
ENSG00000083807,brown,568.8548377725093,0.8432046200638407,SLC27A5,protein_coding,19,32902,10998
ENSG00000185825,black,695.4385326776606,0.8421180191856391,BCAP31,protein_coding,X,24206,10134
ENSG00000126453,black,678.0585333042665,0.8411317239134395,BCL2L12,protein_coding,19,8351,83596
ENSG00000174851,black,693.8299521346157,0.8391150605228954,YIF1A,protein_coding,11,4591,10897
ENSG00000167483,brown,622.0346946196631,0.8383966927873734,FAM129C,protein_coding,19,30539,NA
ENSG00000189159,turquoise,49.06475141901578,0.8373872460887424,HN1,protein_coding,17,33034,NA
ENSG00000100284,black,604.5339316149806,0.8363212101974646,TOM1,protein_coding,22,48718,10043
ENSG00000164066,brown,629.5989346605223,0.8362335982493754,INTU,protein_coding,4,103467,27152
ENSG00000163870,black,647.6441151804336,0.8352282082067387,TPRA1,protein_coding,3,25183,131601
ENSG00000138107,black,619.1756342416145,0.8345781185573623,ACTR1A,protein_coding,10,23497,10121
ENSG00000103507,black,692.4253903742506,0.8323274355300792,BCKDK,protein_coding,16,6683,10295
ENSG00000137259,salmon,246.1564367564334,0.8318967980400727,HIST1H2AB,protein_coding,6,477,NA
ENSG00000100058,brown,664.4681441067177,0.8314751904566628,CRYBB2P1,pseudogene,22,72750,1416
ENSG00000132205,turquoise,81.62937173505252,0.8295080887770229,EMILIN2,protein_coding,18,68964,84034
ENSG00000205929,brown,583.506538861843,0.8294849207352484,C21orf62,protein_coding,21,23069,NA
ENSG00000108294,black,682.4330410421651,0.8294372163298792,PSMB3,protein_coding,17,11496,5691
ENSG00000079999,black,668.0829136541109,0.8287392783938304,KEAP1,protein_coding,19,17622,9817
